"","Var1","Var2","value"
"1","D00049","hsa10161",0.782338080531669
"2","D00059","hsa10161",0.786119199303061
"3","D00079","hsa10161",0.791263999186695
"4","D00094","hsa10161",0.806627819967063
"5","D00095","hsa10161",0.785855074698195
"6","D00106","hsa10161",0.552950478166431
"7","D00110","hsa10161",0.776168962270911
"8","D00113","hsa10161",0.798569889875367
"9","D00136","hsa10161",0.779982615904395
"10","D00139","hsa10161",0.754882781873503
"11","D00180","hsa10161",0.80022162342617
"12","D00225","hsa10161",0.834725529204635
"13","D00227","hsa10161",0.00352662750476329
"14","D00232","hsa10161",0.770389015735747
"15","D00234","hsa10161",0.822883126772964
"16","D00235","hsa10161",0.784377768731756
"17","D00241","hsa10161",0.785835263773302
"18","D00255","hsa10161",0.773703101052079
"19","D00270","hsa10161",0.77678222254581
"20","D00274","hsa10161",0.766973698393218
"21","D00281","hsa10161",0.793325134690203
"22","D00283","hsa10161",0.785780294838532
"23","D00295","hsa10161",0.785579416147298
"24","D00300","hsa10161",0.785094483678406
"25","D00301","hsa10161",0.789768925116165
"26","D00306","hsa10161",0.791385858367806
"27","D00318","hsa10161",0.78697980556096
"28","D00332","hsa10161",0.998952873997864
"29","D00336","hsa10161",0.795055821782184
"30","D00356","hsa10161",0.766953155188832
"31","D00364","hsa10161",0.794886738221278
"32","D00371","hsa10161",0.000244176890551066
"33","D00380","hsa10161",0.965740870345217
"34","D00394","hsa10161",0.878523556465455
"35","D00397","hsa10161",0.785270099712176
"36","D00400","hsa10161",0.787713442911005
"37","D00410","hsa10161",0.854527267717591
"38","D00411","hsa10161",0.789504002704373
"39","D00415","hsa10161",0.784861364399469
"40","D00419","hsa10161",0.792819363839196
"41","D00422","hsa10161",0.758976982350776
"42","D00426","hsa10161",0.778027796948788
"43","D00432","hsa10161",0.784017753020074
"44","D00437","hsa10161",0.837304821669646
"45","D00440","hsa10161",0.786401240553684
"46","D00442","hsa10161",0.797216604585527
"47","D00443","hsa10161",0.784646383041857
"48","D00451","hsa10161",0.788759098656192
"49","D00454","hsa10161",0.807290235426601
"50","D00465","hsa10161",0.778544892149364
"51","D00480","hsa10161",0.774734979130727
"52","D00483","hsa10161",0.789539256072431
"53","D00493","hsa10161",0.782148982227375
"54","D00494","hsa10161",0.772625533589477
"55","D00498","hsa10161",0.77933944113797
"56","D00499","hsa10161",0.788597614019736
"57","D00503","hsa10161",0.786113074869347
"58","D00509","hsa10161",0.78336942878285
"59","D00513","hsa10161",0.78418532446448
"60","D00514","hsa10161",0.789921040312892
"61","D00520","hsa10161",0.787693383442683
"62","D00521","hsa10161",0.780037260777393
"63","D00522","hsa10161",0.790364748715553
"64","D00523","hsa10161",0.781913830100947
"65","D00524","hsa10161",0.793583673906518
"66","D00525","hsa10161",0.784206829048228
"67","D00528","hsa10161",3.97902130919643e-215
"68","D00540","hsa10161",0.800725423172081
"69","D00542","hsa10161",0.942993689915601
"70","D00559","hsa10161",0.796935520587961
"71","D00560","hsa10161",0.793337135118047
"72","D00563","hsa10161",0.787655522526914
"73","D00574","hsa10161",0.885125275830549
"74","D00598","hsa10161",0.78026986567989
"75","D00601","hsa10161",0.778420431556386
"76","D00604","hsa10161",0.783857361900769
"77","D00606","hsa10161",0.786636864693627
"78","D00607","hsa10161",0.780982707633465
"79","D00609","hsa10161",0.808752891082253
"80","D00613","hsa10161",0.778831318611991
"81","D00627","hsa10161",0.781512417057015
"82","D00632","hsa10161",0.798497202191987
"83","D00635","hsa10161",0.80147220707716
"84","D00645","hsa10161",0.793092346546884
"85","D00646","hsa10161",0.781138890458401
"86","D00665","hsa10161",0.796213716391647
"87","D00666","hsa10161",0.781777455354
"88","D00673","hsa10161",0.784276055202318
"89","D00674","hsa10161",0.776737606449444
"90","D00675","hsa10161",0.809130732326498
"91","D00676","hsa10161",0.772251653614009
"92","D00682","hsa10161",0.777710899070868
"93","D00683","hsa10161",0.796848744847297
"94","D00684","hsa10161",0.784894158361736
"95","D00687","hsa10161",0.780760962106945
"96","D00688","hsa10161",0.793239794798098
"97","D00715","hsa10161",0.782926468502768
"98","D00726","hsa10161",0.784754408685874
"99","D00760","hsa10161",0.800817169190398
"100","D00765","hsa10161",0.775805177859887
"101","D00769","hsa10161",0.358022877568365
"102","D00775","hsa10161",0.793425993099911
"103","D00779","hsa10161",0.786623586585563
"104","D00780","hsa10161",0.774094310667271
"105","D00790","hsa10161",0.79101348428008
"106","D00837","hsa10161",0.782250693665874
"107","D00838","hsa10161",0.779473095212293
"108","D00845","hsa10161",0.79623898256121
"109","D00954","hsa10161",0.77506542478523
"110","D00965","hsa10161",0.785057835778213
"111","D00987","hsa10161",0.788040251592673
"112","D00996","hsa10161",0.794356429596924
"113","D01020","hsa10161",0.780706019559687
"114","D01022","hsa10161",0.781593316457515
"115","D01024","hsa10161",0.762053592898441
"116","D01051","hsa10161",0.790122101063714
