"","Var1","Var2","value"
"1","D00035","hsa10008",0.769855359702525
"2","D00110","hsa10008",0.770219062458894
"3","D00136","hsa10008",0.762037335619095
"4","D00195","hsa10008",0.770967948693057
"5","D00219","hsa10008",0.923107809729132
"6","D00225","hsa10008",0.758492720968774
"7","D00227","hsa10008",0.882876302732383
"8","D00228","hsa10008",0.774798602735212
"9","D00234","hsa10008",0.949947334102877
"10","D00252","hsa10008",0.901164414181944
"11","D00274","hsa10008",0.958126071528001
"12","D00283","hsa10008",0.785246776297411
"13","D00293","hsa10008",0.760022837983589
"14","D00294","hsa10008",5.32632925013692e-57
"15","D00303","hsa10008",0.819259811355529
"16","D00319","hsa10008",0.818145600537182
"17","D00326","hsa10008",0.837541973690849
"18","D00329","hsa10008",0.771981844077436
"19","D00331","hsa10008",0.760602407609408
"20","D00332","hsa10008",0.868450382821932
"21","D00335","hsa10008",0.859933920415526
"22","D00336","hsa10008",0.980998460087575
"23","D00338","hsa10008",0.768057201623164
"24","D00340","hsa10008",0.903705303725773
"25","D00345","hsa10008",0.495838693295676
"26","D00349","hsa10008",0.910655403830089
"27","D00351","hsa10008",0.801750247927755
"28","D00354","hsa10008",0.795700500308272
"29","D00358","hsa10008",0.828003586549509
"30","D00364","hsa10008",0.98078654286507
"31","D00367","hsa10008",0.768304872439065
"32","D00373","hsa10008",0.981787441482859
"33","D00379","hsa10008",0.903187303172255
"34","D00380","hsa10008",0.886171047510097
"35","D00392","hsa10008",0.789411901109258
"36","D00394","hsa10008",0.772231126339151
"37","D00418","hsa10008",0.88611505297682
"38","D00437","hsa10008",0.938804129566237
"39","D00438","hsa10008",0.897219448303038
"40","D00451","hsa10008",0.773221510520469
"41","D00456","hsa10008",0.750661503352538
"42","D00464","hsa10008",0.7605260125184
"43","D00474","hsa10008",0.769349079892265
"44","D00477","hsa10008",0.785190906686347
"45","D00480","hsa10008",0.952602581604975
"46","D00495","hsa10008",0.774971525533
"47","D00499","hsa10008",0.766593950329365
"48","D00504","hsa10008",0.763926661606366
"49","D00512","hsa10008",0.902522241848027
"50","D00513","hsa10008",0.76780919285145
"51","D00519","hsa10008",0.949149841020945
"52","D00521","hsa10008",0.927935278402112
"53","D00524","hsa10008",0.756894282078425
"54","D00528","hsa10008",0.808098658214143
"55","D00530","hsa10008",0.75393844797192
"56","D00533","hsa10008",0.81688788850413
"57","D00536","hsa10008",0.743799575380748
"58","D00537","hsa10008",0.766042291060904
"59","D00538","hsa10008",0.94651596940607
"60","D00539","hsa10008",0.78638167774372
"61","D00542","hsa10008",0.909477213884334
"62","D00543","hsa10008",0.808819132804641
"63","D00544","hsa10008",0.829836724158665
"64","D00545","hsa10008",0.796657662359565
"65","D00546","hsa10008",0.816373492561817
"66","D00547","hsa10008",0.78008001935173
"67","D00548","hsa10008",0.76081857239652
"68","D00549","hsa10008",0.768071310691046
"69","D00550","hsa10008",0.75877623495653
"70","D00552","hsa10008",0.949766395064179
"71","D00553","hsa10008",0.784848780134274
"72","D00560","hsa10008",0.932977774305657
"73","D00563","hsa10008",0.766130733543148
"74","D00574","hsa10008",0.785278729391324
"75","D00593","hsa10008",0.927291718554878
"76","D00594","hsa10008",0.96005150454476
"77","D00607","hsa10008",0.778933366780193
"78","D00611","hsa10008",0.766111213725492
"79","D00615","hsa10008",0.863776806308053
"80","D00616","hsa10008",0.623939843089085
"81","D00617","hsa10008",0.968111459491558
"82","D00618","hsa10008",0.907831551410443
"83","D00619","hsa10008",0.175562105397778
"84","D00629","hsa10008",0.954884632410786
"85","D00631","hsa10008",0.669144714997773
"86","D00633","hsa10008",0.769628618216255
"87","D00636","hsa10008",0.924739419259429
"88","D00638","hsa10008",0.87936838276977
"89","D00639","hsa10008",0.782711822907904
"90","D00640","hsa10008",0.908534851844765
"91","D00642","hsa10008",0.608443682960939
"92","D00647","hsa10008",0.890511710387953
"93","D00648","hsa10008",0.546177534697745
"94","D00649","hsa10008",0.844206615886546
"95","D00650","hsa10008",0.903195385293934
"96","D00651","hsa10008",0.896449830760602
"97","D00654","hsa10008",0.891783489188927
"98","D00656","hsa10008",0.901944856625255
"99","D00658","hsa10008",0.891612263236762
"100","D00677","hsa10008",0.782085553780242
"101","D00678","hsa10008",0.771135687439001
"102","D00694","hsa10008",0.776027499462841
"103","D00697","hsa10008",0.764195699537758
"104","D00704","hsa10008",0.773133430314617
"105","D00708","hsa10008",0.780589192559116
"106","D00709","hsa10008",0.781044970435562
"107","D00711","hsa10008",0.762415014691017
"108","D00726","hsa10008",0.772317741627697
"109","D00732","hsa10008",0.831617139130541
"110","D00733","hsa10008",0.828079009088031
"111","D00735","hsa10008",0.827353162098561
"112","D00738","hsa10008",0.818363105942905
"113","D00739","hsa10008",0.820888364429478
"114","D00740","hsa10008",0.865995570212065
"115","D00741","hsa10008",0.834682640011033
"116","D00759","hsa10008",0.758638898734961
"117","D00760","hsa10008",0.756786142267532
"118","D00761","hsa10008",0.757619674143015
"119","D00765","hsa10008",0.757283671697385
"120","D00771","hsa10008",0.932839896067893
"121","D00775","hsa10008",0.718077406897071
"122","D00779","hsa10008",0.769679841095316
"123","D00791","hsa10008",0.9110678846577
"124","D00798","hsa10008",0.942993510599069
"125","D00799","hsa10008",0.915639915952964
"126","D00809","hsa10008",0.994253628460454
"127","D00812","hsa10008",0.9103482715935
"128","D00816","hsa10008",0.923504203449461
"129","D00823","hsa10008",0.827685057421289
"130","D00831","hsa10008",0.954218423919124
"131","D00960","hsa10008",0.774260833626998
"132","D00963","hsa10008",0.762700574053715
"133","D00964","hsa10008",0.7651511227889
"134","D01071","hsa10008",0.769709164393628
"135","D01108","hsa10008",0.778999949564057
"136","D01111","hsa10008",0.913155342527288
"137","D01118","hsa10008",0.769313491113253
"138","D01242","hsa10008",0.923465093630077
"139","D01243","hsa10008",0.842448027553303
"140","D01253","hsa10008",0.768896731665429
"141","D01256","hsa10008",0.960360530815502
"142","D01275","hsa10008",0.820153722919745
"143","D01287","hsa10008",0.814990827656596
"144","D01295","hsa10008",0.990822604889364
"145","D01350","hsa10008",0.803581400561274
"146","D01448","hsa10008",0.883160028917353
"147","D01450","hsa10008",0.986616159537143
"148","D01453","hsa10008",0.894461904300289
"149","D01575","hsa10008",0.940923533017783
"150","D01599","hsa10008",0.750173633647141
"151","D01603","hsa10008",0.762099542002544
"152","D01712","hsa10008",0.853076067034267
"153","D01768","hsa10008",0.789010714568325
"154","D01799","hsa10008",0.778163168067394
"155","D01828","hsa10008",0.998467493693939
"156","D01854","hsa10008",0.782621504939375
"157","D01969","hsa10008",0.931578041343751
"158","D02041","hsa10008",0.765588097034853
"159","D02086","hsa10008",0.82821429691175
"160","D02087","hsa10008",0.789804281623858
"161","D02088","hsa10008",0.791265787434453
"162","D02092","hsa10008",0.931477729828967
"163","D02098","hsa10008",0.79917364612173
"164","D02101","hsa10008",0.764775234739774
"165","D02163","hsa10008",0.890048861222045
"166","D02173","hsa10008",0.770926886957704
"167","D02204","hsa10008",0.762129618436691
"168","D02207","hsa10008",0.837715271825242
"169","D02234","hsa10008",0.879553671532204
"170","D02237","hsa10008",0.765221205884149
"171","D02253","hsa10008",0.746301106959302
"172","D02261","hsa10008",0.793453882136511
"173","D02262","hsa10008",0.821122333669301
"174","D02272","hsa10008",0.700035463676717
"175","D02347","hsa10008",0.799249359335837
"176","D02356","hsa10008",2.32679115617822e-39
"177","D02360","hsa10008",0.753850211521619
"178","D02362","hsa10008",0.756715639903618
"179","D02409","hsa10008",0.871840340910185
"180","D02461","hsa10008",0.775420981012048
"181","D02485","hsa10008",0.930803091068936
"182","D02546","hsa10008",0.773429416397775
"183","D02566","hsa10008",0.75528773626066
"184","D02630","hsa10008",0.848369435251304
"185","D02914","hsa10008",0.855031797805016
"186","D03037","hsa10008",0.996173939903324
"187","D03180","hsa10008",0.771972175673915
"188","D03274","hsa10008",0.96219985886016
"189","D03365","hsa10008",0.772011575730226
"190","D03450","hsa10008",0.862799033127657
"191","D03580","hsa10008",0.750208018416856
"192","D03742","hsa10008",0.772649395759739
"193","D03826","hsa10008",0.77413074451388
"194","D03830","hsa10008",0.752283673299247
"195","D03878","hsa10008",0.808174762111464
"196","D03991","hsa10008",0.792322989946052
"197","D04034","hsa10008",0.99694655770226
"198","D04048","hsa10008",0.809996897872468
"199","D04370","hsa10008",0.768664716846429
"200","D04790","hsa10008",0.791187108855185
"201","D04985","hsa10008",0.768666834514349
"202","D04999","hsa10008",0.765208147218066
"203","D05024","hsa10008",0.987774438205827
"204","D05077","hsa10008",0.775886976101531
"205","D05156","hsa10008",0.813591641253706
"206","D05453","hsa10008",0.812718997249245
"207","D05458","hsa10008",0.768350178781497
"208","D05461","hsa10008",0.769889833780975
"209","D06106","hsa10008",0.750066285387061
"210","D06172","hsa10008",0.788451274192794
"211","D00035","hsa10060",0.77351703573489
"212","D00110","hsa10060",0.755070842689953
"213","D00136","hsa10060",0.768856682113585
"214","D00195","hsa10060",0.768940470181007
"215","D00219","hsa10060",0.81050031771812
"216","D00225","hsa10060",0.767912156002866
"217","D00227","hsa10060",0.856236476892399
"218","D00228","hsa10060",0.766482160343691
"219","D00234","hsa10060",0.850818052738091
