D00049	D00059	D00079	D00094	D00095	D00136	D00139	D00180	D00225	D00235	D00241	D00255	D00295	D00300	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00397	D00400	D00410	D00411	D00415	D00419	D00426	D00432	D00437	D00440	D00443	D00451	D00454	D00480	D00483	D00498	D00503	D00509	D00513	D00520	D00528	D00542	D00559	D00560	D00598	D00601	D00604	D00609	D00627	D00632	D00665	D00666	D00673	D00674	D00675	D00676	D00683	D00687	D00688	D00726	D00765	D00769	D00775	D00780	D00837	D00987	D01020	D01022	D01024	D01051	D01103	D01118	D01126	D01164	D01227	D01269	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02150	D02234	D02250	D02614	D03274	D03365	D04034
D00049	1	0.34924220735554	0.0957598164413457	0.106020150174376	0.219893131721627	0.127679755255128	0.188479827189966	0.0957598164413457	0.19029262798068	0.164920343551261	0.34924220735554	0.113088292122012	0.129068051930549	0.215112760204193	0.0732977105738756	0.164920343551261	0.104159852419714	0.141359870392474	0.15959969406891	0.156240273389612	0.172090406067371	0.197904016453481	0.203724373577378	0.296856024680221	0.0860456977937266	0.152233706576511	0	0.113088292122012	0.146595421147751	0.13193568112896	0.0706804299562784	0	0.158323213162785	0.146595421147751	0.152233706576511	0.206149687299015	0.152233706576511	0.123690010283425	0.164920343551261	0.172090406067371	0.133718796317206	0.148428012340111	0	0.0824596770155895	0.101489137717674	0.141359870392474	0.116414069118513	0.197904016453481	0.116414069118513	0.168942742685678	0.141359870392474	0.238849367937624	0.203724373577378	0.106020150174376	0.136485494467225	0.263872351778002	0.191519632882691	0.0899562811588474	0.157508076667915	0.094239913594983	0.114175774692424	0	0.127679755255128	0.197904016453481	0.0746810596488855	0.160462555580647	0.104159852419714	0.188479827189966	0.0732977105738756	0.116414069118513	0.149927135264746	0.145517833778162	0.141359870392474	0.156240273389612	0.113088292122012	0.0879574505926672	0.187206314844088	0.141359870392474	0.216457517995995	0.216457517995995	0.0761168532882555	0.152233706576511	0.291035667556324	0.188479827189966	0.13193568112896	0.158323213162785	0.203724373577378	0.113088292122012	0.141359870392474	0.288610353834687	0.136485494467225	0.149927135264746	0.104159852419714	0.126861422147092	0.0989520082267404	0.154612512854282	0.126322133702257	0.148428012340111	0.188479827189966	0.0827758079642474	0.096972967440104	0.141359870392474	0.168942742685678	0.395808032906961	0.147375162972578
D00059	0.34924220735554	1	0.179912562317695	0.0899562811588474	0.494760041133702	0.174621598437811	0.197904016453481	0.179912562317695	0.197904016453481	0.316646426325569	0.468719830648753	0.187206314844088	0.146595421147751	0.176699590610573	0.170607115464052	0.179912562317695	0.144807358359094	0.182280483874561	0.169632438183019	0.123690010283425	0.183244276434689	0.204728736460879	0.24069383337097	0.146595421147751	0.121165744553561	0.247380020566851	0.0781196419347647	0.156240273389612	0.197904016453481	0.145517833778162	0.127679755255128	0	0.256541987008565	0.15959969406891	0.247380020566851	0.256541987008565	0.204728736460879	0.169632438183019	0.174621598437811	0.277065623034873	0.11780038675377	0.118742409872088	0.0494760041133702	0.146595421147751	0.168942742685678	0.2308876893557	0.19029262798068	0.158323213162785	0.160462555580647	0.202401385227386	0.318060450523129	0.239883416423593	0.208319704839427	0.15959969406891	0.223439571696473	0.299854270529491	0.309225025708564	0.175914901185334	0.21563558910495	0.157423739408003	0.212040300348753	0.0388050195461985	0.141359870392474	0.314847478816007	0.106020150174376	0.260400125809325	0.11780038675377	0.35982512463539	0.212040300348753	0.226175594723943	0.130200062904663	0.126861422147092	0.2308876893557	0.282719740784949	0.156240273389612	0.123690010283425	0.222642018510166	0.191519632882691	0.219893131721627	0.291035667556324	0.173166014396796	0.164920343551261	0.282719740784949	0.424079611177423	0.118742409872088	0.212040300348753	0.208319704839427	0.156240273389612	0.154612512854282	0.380584266441277	0.185535015425138	0.192406242876403	0.11780038675377	0.164920343551261	0.164920343551261	0.197904016453481	0.23159024861411	0.241345927105184	0.424079611177423	0.0963341263759737	0.150526911481372	0.2308876893557	0.202401385227386	0.179912562317695	0.201943237429296
D00079	0.0957598164413457	0.179912562317695	1	0.234359915324376	0.149927135264746	0.107556874862138	0.0247380020566851	0.842924661119652	0.0439782305362925	0.126861422147092	0.145517833778162	0.121165744553561	0.104159852419714	0.0989520082267404	0.0706804299562784	0.191519632882691	0.0933513245611068	0.395808032906961	0.0605823775167395	0.0549737776904479	0.101489137717674	0.120672963552592	0.185535015425138	0.024134394806502	0.0638398776275638	0.120672963552592	0.523863805793351	0.121165744553561	0.202978275435348	0.0412303332678359	0.148428012340111	0.123690010283425	0.0965385687460902	0.0439782305362925	0.0690358475795499	0.0965385687460902	0.177605991005929	0.129068051930549	0.0842140961214496	0.101489137717674	0.0933513245611068	0.0534875185268822	0.0319199388137819	0.133718796317206	0.133204245874427	0.197904016453481	0.194659380103726	0.0253722844294185	0.0380589214041689	0.121519992743013	0.168942742685678	0.179912562317695	0.161553996231388	0.144807358359094	0.112445104068539	0.147375162972578	0.202401385227386	0.141359870392474	0.217905459201896	0.106020150174376	0.123690010283425	0.141359870392474	0.0618450051417127	0	0.104949489445363	0.178113614808133	0.206149687299015	0.0781196419347647	0.0965385687460902	0.123690010283425	0.100971618714648	0.0776090495723147	0.115060405645971	0.185535015425138	0.144304682157302	0.0478799082206729	0.152233706576511	0.0899562811588474	0.168429181762982	0.121165744553561	0.650256195421448	0.0690358475795499	0.0848157243314682	0.137433454706037	0.0463837538562845	0.0460245580664215	0.116414069118513	0.121165744553561	0.0899562811588474	0.11780038675377	0.0879574505926672	0.454643907478499	0.135816578891612	0.391205775004336	0.174621598437811	0.126322133702257	0.208319704839427	0.213425628463927	0.137433454706037	0.031041207355224	0.174551341392187	0.168942742685678	0.141359870392474	0.0873103044588643	0.145994782457815
D00094	0.106020150174376	0.0899562811588474	0.234359915324376	1	0.0291037646596489	0.065968335324521	0.0267437592634411	0.173166014396796	0.0724041739395882	0.050744568858837	0.0899562811588474	0.0194025097730992	0.0824596770155895	0.050744568858837	0.0494760041133702	0.256541987008565	0.0776090495723147	0.103075338409549	0.112445104068539	0.0599708541058983	0.052080420969898	0.0235604731587869	0.123690010283425	0.0534875185268822	0.104159852419714	0.0742140061700553	0.138072684679182	0.0824596770155895	0.126861422147092	0.144807358359094	0.130200062904663	0.157423739408003	0.0761168532882555	0.0989520082267404	0.0742140061700553	0.0494760041133702	0.226175594723943	0.0421070480607248	0.115060405645971	0.052080420969898	0.0776090495723147	0.0899562811588474	0	0.0824596770155895	0.0366488552869378	0.0965385687460902	0.127679755255128	0.0873103044588643	0.0842140961214496	0.107947735294633	0.0224888229096913	0.138072684679182	0.197904016453481	0.126861422147092	0.094239913594983	0.107556874862138	0.134934916498312	0.0883502900653274	0.0492881642254881	0.0916226329773857	0.0761168532882555	0.128271488264324	0.065968335324521	0	0.145994782457815	0.141359870392474	0.121165744553561	0.0848157243314682	0.232828138237026	0.0618450051417127	0.0618450051417127	0.0605823775167395	0.0706804299562784	0.127679755255128	0.0395808032906961	0.0682432419936538	0.0951463139903399	0.0460245580664215	0.207108532258732	0.0605823775167395	0.193601583135782	0.0742140061700553	0.0599708541058983	0.0549737776904479	0.0838578688918334	0.0761168532882555	0.147375162972578	0.0395808032906961	0.152233706576511	0.126861422147092	0.094239913594983	0.13193568112896	0.0776090495723147	0.138532811517437	0.0549737776904479	0.0860456977937266	0.0989520082267404	0.112021589473328	0.0549737776904479	0.103151838452949	0.0965263666412013	0.0460245580664215	0.0883502900653274	0.13193568112896	0.0797998470344548
D00095	0.219893131721627	0.494760041133702	0.149927135264746	0.0291037646596489	1	0.216457517995995	0.258136103861098	0.149927135264746	0.247380020566851	0.32983969758244	0.346332028793591	0.261931902896675	0.197904016453481	0.228350559864766	0.136485494467225	0.0412303332678359	0.208319704839427	0.254448162514487	0.209897989370644	0.179912562317695	0.288610353834687	0.256541987008565	0.182280483874561	0.197904016453481	0.172090406067371	0.304467413153022	0.109946565860813	0.226175594723943	0.293190842295503	0.185535015425138	0.170607115464052	0.024134394806502	0.316646426325569	0.204728736460879	0.304467413153022	0.371070030850276	0.304467413153022	0.247380020566851	0.255360500030338	0.404803759974854	0.148428012340111	0.172090406067371	0.052080420969898	0.197904016453481	0.173166014396796	0.282719740784949	0.171263167278595	0.164920343551261	0.164920343551261	0.153925785917188	0.435388836197658	0.247380020566851	0.182280483874561	0.204728736460879	0.27297098893445	0.232828138237026	0.239883416423593	0.265481311431769	0.247512100448161	0.247380020566851	0.266409481268935	0.0605823775167395	0.179912562317695	0.269868843476542	0.128271488264324	0.202978275435348	0.148428012340111	0.376959654379932	0.266409481268935	0.232828138237026	0.164920343551261	0.130200062904663	0.282719740784949	0.0824596770155895	0.192406242876403	0.175914901185334	0.141359870392474	0.197904016453481	0.160462555580647	0.192406242876403	0.148428012340111	0.212040300348753	0.439786263443254	0.698484414711079	0.168429181762982	0.176699590610573	0.152233706576511	0.192406242876403	0.197904016453481	0.247380020566851	0.2308876893557	0.269868843476542	0.120672963552592	0.228350559864766	0.197904016453481	0.239883416423593	0.161553996231388	0.161084963712393	0.698484414711079	0.119729573031203	0.121675153337193	0.380584266441277	0.207108532258732	0.247380020566851	0.181748122070301
D00136	0.127679755255128	0.174621598437811	0.107556874862138	0.065968335324521	0.216457517995995	1	0.197904016453481	0.107556874862138	0.32983969758244	0.282719740784949	0.287280438844119	0.241882246989773	0.101489137717674	0.35982512463539	0.120672963552592	0.185535015425138	0.470022039077017	0.210536229823706	0.390600188713988	0.113088292122012	0.291035667556324	0.419795978741288	0.345181216937914	0.299854270529491	0.28543894197102	0.234359915324376	0.103075338409549	0.34592978888015	0.197904016453481	0.0842140961214496	0.11780038675377	0.144304682157302	0.208319704839427	0.32983969758244	0.302353798257299	0.310992308575493	0.267437592634411	0.552967570453	0.364559978229039	0.254448162514487	0.279647280929509	0.109946565860813	0.0638398776275638	0.226175594723943	0.572879683068466	0.320925111161293	0.251572617155418	0.239883416423593	0.371070030850276	0.201569198838199	0.395808032906961	0.321594026736906	0.410288669790863	0.168942742685678	0.384813475272888	0.276145369358364	0.197904016453481	0.247380020566851	0.22510683685785	0.209321099162682	0.24069383337097	0.138880133066312	0.265481311431769	0.203724373577378	0.2308876893557	0.222137363268209	0.252643277884431	0.197904016453481	0.208319704839427	0.276145369358364	0.711217559129696	0.362019880177859	0.286440336294274	0.113088292122012	0.450024332974434	0.197904016453481	0.351829802370669	0.320925111161293	0.269868843476542	0.362019880177859	0.0916226329773857	0.378345972015188	0.216457517995995	0.232828138237026	0.356227229616265	0.310992308575493	0.445284037020332	0.468719830648753	0.479766832847186	0.197904016453481	0.384813475272888	0.193601583135782	0.178113614808133	0.217694418098829	0.382314937065163	0.380584266441277	0.368644717128639	0.186701659602131	0.232828138237026	0.279368631247966	0.201727785484201	0.395808032906961	0.323108981982858	0.223439571696473	0.287860297612328
D00139	0.188479827189966	0.197904016453481	0.0247380020566851	0.0267437592634411	0.258136103861098	0.197904016453481	1	0.0247380020566851	0.307092609931277	0.204728736460879	0.197904016453481	0.274866909412075	0.136485494467225	0.293190842295503	0.0899562811588474	0	0.253722844294185	0.11780038675377	0.299854270529491	0.258136103861098	0.212040300348753	0.27297098893445	0.294181351897852	0.316646426325569	0.236623937272604	0.318060450523129	0.0235604731587869	0.208319704839427	0.185535015425138	0.137433454706037	0.119941708211797	0.0706804299562784	0.238849367937624	0.263872351778002	0.318060450523129	0.282719740784949	0.191519632882691	0.261931902896675	0.269868843476542	0.256541987008565	0.222642018510166	0.247380020566851	0	0.136485494467225	0.217211532298682	0.179912562317695	0.161921108181909	0.19029262798068	0.320138442695891	0.193601583135782	0.296856024680221	0.261931902896675	0.228350559864766	0.149927135264746	0.209897989370644	0.282719740784949	0.187206314844088	0.219893131721627	0.207010496757547	0.175914901185334	0.197904016453481	0.0373405298244427	0.269868843476542	0.237484819744177	0.141359870392474	0.109946565860813	0.164920343551261	0.277065623034873	0.238849367937624	0.282719740784949	0.213950074107529	0.177605991005929	0.296856024680221	0	0.24069383337097	0.215112760204193	0.184097242745604	0.255360500030338	0.24069383337097	0.208319704839427	0.0206146718738768	0.318060450523129	0.206149687299015	0.228350559864766	0.206149687299015	0.282719740784949	0.228350559864766	0.24069383337097	0.255360500030338	0.307092609931277	0.287280438844119	0.123690010283425	0.0879574505926672	0.13193568112896	0.212040300348753	0.291035667556324	0.174621598437811	0.0593712049360442	0.228350559864766	0.179593800809543	0.132013176352996	0.341214230928104	0.219893131721627	0.215112760204193	0.194023118690828
D00180	0.0957598164413457	0.179912562317695	0.842924661119652	0.173166014396796	0.149927135264746	0.107556874862138	0.0247380020566851	1	0.0439782305362925	0.126861422147092	0.145517833778162	0.121165744553561	0.104159852419714	0.0989520082267404	0.0706804299562784	0.191519632882691	0.0933513245611068	0.362019880177859	0.0605823775167395	0.0549737776904479	0.101489137717674	0.120672963552592	0.185535015425138	0.024134394806502	0.0638398776275638	0.120672963552592	0.618450051417127	0.121165744553561	0.202978275435348	0.0412303332678359	0.148428012340111	0.123690010283425	0.0965385687460902	0.0439782305362925	0.0690358475795499	0.0965385687460902	0.148428012340111	0.129068051930549	0.0842140961214496	0.101489137717674	0.0933513245611068	0.0534875185268822	0.0319199388137819	0.133718796317206	0.133204245874427	0.197904016453481	0.214396347664632	0.0253722844294185	0.0380589214041689	0.121519992743013	0.168942742685678	0.179912562317695	0.185535015425138	0.144807358359094	0.112445104068539	0.147375162972578	0.202401385227386	0.141359870392474	0.263467434485749	0.106020150174376	0.123690010283425	0.121519992743013	0.0618450051417127	0	0.104949489445363	0.178113614808133	0.181748122070301	0.0781196419347647	0.0965385687460902	0.123690010283425	0.100971618714648	0.0776090495723147	0.115060405645971	0.185535015425138	0.144304682157302	0.0478799082206729	0.152233706576511	0.0899562811588474	0.168429181762982	0.121165744553561	0.561619934052346	0.0690358475795499	0.0848157243314682	0.137433454706037	0.0463837538562845	0.0460245580664215	0.116414069118513	0.121165744553561	0.065968335324521	0.11780038675377	0.0879574505926672	0.416640399198937	0.135816578891612	0.32983969758244	0.174621598437811	0.126322133702257	0.208319704839427	0.213425628463927	0.137433454706037	0.031041207355224	0.189119728759404	0.168942742685678	0.141359870392474	0.0873103044588643	0.145994782457815
D00225	0.19029262798068	0.197904016453481	0.0439782305362925	0.0724041739395882	0.247380020566851	0.32983969758244	0.307092609931277	0.0439782305362925	1	0.169632438183019	0.197904016453481	0.281168668055995	0.113088292122012	0.362824360004742	0.0761168532882555	0.0299854270529491	0.337884495851274	0.175914901185334	0.357326586427664	0.204728736460879	0.174621598437811	0.34014752827942	0.313750101044772	0.341214230928104	0.282719740784949	0.261931902896675	0.0421070480607248	0.296856024680221	0.156240273389612	0.144807358359094	0.101489137717674	0.0618450051417127	0.232828138237026	0.371070030850276	0.383040255285465	0.309225025708564	0.226175594723943	0.357326586427664	0.367536454636499	0.209897989370644	0.371070030850276	0.197904016453481	0.0353397202180981	0.179912562317695	0.32983969758244	0.213950074107529	0.184487113658017	0.2308876893557	0.304467413153022	0.281372509192942	0.35982512463539	0.320925111161293	0.346332028793591	0.126861422147092	0.24069383337097	0.374412629688176	0.188479827189966	0.217694418098829	0.278668215262655	0.178113614808133	0.197904016453481	0.0511819367351992	0.32983969758244	0.2308876893557	0.145994782457815	0.141359870392474	0.168429181762982	0.223439571696473	0.232828138237026	0.304467413153022	0.33851976774409	0.296856024680221	0.401992533421133	0.0291037646596489	0.265481311431769	0.262525614946036	0.263872351778002	0.320138442695891	0.265481311431769	0.32983969758244	0.0373405298244427	0.428791705809181	0.293190842295503	0.223439571696473	0.277065623034873	0.443578104398503	0.346332028793591	0.401156388951617	0.35982512463539	0.32983969758244	0.389810551688339	0.184097242745604	0.0989520082267404	0.161553996231388	0.263872351778002	0.384813475272888	0.242712454338796	0.0719648270230615	0.223439571696473	0.274467387981352	0.165766322159503	0.35982512463539	0.294750325945156	0.256541987008565	0.249800386688077
D00235	0.164920343551261	0.316646426325569	0.126861422147092	0.050744568858837	0.32983969758244	0.282719740784949	0.204728736460879	0.126861422147092	0.169632438183019	1	0.316646426325569	0.320925111161293	0.238849367937624	0.307092609931277	0.179912562317695	0.0682432419936538	0.265481311431769	0.347668870424734	0.148428012340111	0.141359870392474	0.366488552869378	0.32983969758244	0.33851976774409	0.282719740784949	0.197904016453481	0.287280438844119	0.148428012340111	0.164920343551261	0.409456483401676	0.156240273389612	0.247380020566851	0.0899562811588474	0.341214230928104	0.169632438183019	0.247380020566851	0.554131246069746	0.247380020566851	0.208319704839427	0.247380020566851	0.535990374401538	0.207108532258732	0.136485494467225	0.0395808032906961	0.15959969406891	0.175914901185334	0.608935815826126	0.310437187809341	0.13193568112896	0.197904016453481	0.206149687299015	0.395808032906961	0.24069383337097	0.212040300348753	0.278302523137707	0.226175594723943	0.228350559864766	0.267437592634411	0.23159024861411	0.21895293231549	0.215112760204193	0.388739890959325	0.0732977105738756	0.152233706576511	0.256541987008565	0.194370440239704	0.175914901185334	0.265481311431769	0.453529707865866	0.216457517995995	0.32983969758244	0.228350559864766	0.138072684679182	0.232828138237026	0.141359870392474	0.19307713749218	0.226765348692974	0.123690010283425	0.133718796317206	0.112445104068539	0.286440336294274	0.129068051930549	0.141359870392474	0.387203166271564	0.453529707865866	0.217694418098829	0.145517833778162	0.157423739408003	0.164920343551261	0.197904016453481	0.239883416423593	0.160462555580647	0.294181351897852	0.179912562317695	0.282719740784949	0.346332028793591	0.202978275435348	0.282719740784949	0.215112760204193	0.453529707865866	0.108142479681563	0.171617017047639	0.395808032906961	0.258136103861098	0.19029262798068	0.205371924514353
