hsa10161	hsa10800	hsa11255	hsa1128	hsa1129	hsa1131	hsa1132	hsa1133	hsa1241	hsa134	hsa135	hsa136	hsa140	hsa146	hsa147	hsa148	hsa150	hsa151	hsa152	hsa153	hsa154	hsa155	hsa1812	hsa1813	hsa1814	hsa1815	hsa1816	hsa185	hsa1909	hsa1910	hsa222545	hsa23620	hsa2550	hsa2846	hsa2911	hsa2912	hsa2913	hsa2914	hsa2915	hsa2916	hsa2917	hsa2918	hsa3269	hsa3274	hsa3350	hsa3351	hsa3352	hsa3354	hsa3355	hsa3356	hsa3357	hsa3358	hsa3360	hsa3361	hsa3362	hsa3363	hsa338442	hsa3577	hsa4985	hsa4986	hsa4988	hsa5028	hsa5029	hsa5030	hsa5031	hsa5032	hsa56413	hsa57105	hsa5731	hsa5732	hsa5733	hsa5737	hsa5739	hsa59340	hsa64805	hsa6752	hsa6753	hsa6755	hsa6915	hsa7201	hsa8843	hsa9052	hsa9283	hsa9934
hsa10161	1	0.307340631360376	0.0907958413653502	0.0786769199417233	0.0800065765045795	0.0708193993826297	0.0830251852562012	0.0759032259882426	0.162123472652252	0.0889566462687573	0.079290157445441	0.0864262335656324	0.087745602376694	0.0675255280043355	0.0885570367098305	0.0926188920713684	0.0730316441939238	0.0685852673930689	0.0744556269493077	0.0816675942099863	0.110063289867665	0.0880406272301692	0.104789738638575	0.0961463524344975	0.0909626967125736	0.0639290911073429	0.090992316276676	0.271382843284926	0.134066848716631	0.136130484753784	0.0252158066138166	0.0940959346352473	0.0183806899590264	0.568268181294951	0.0200461623811912	0.024922111921672	0.0236771476015543	0.0222831770127725	0.0163974331171855	0.0172462187079938	0.0252546962286825	0.0245055800168348	0.0809847323750744	0.122093238744222	0.0818971425607784	0.0875661094115609	0.094893112737594	0.094754503611584	0.0965301717348014	0.094551041459408	0.0918986395362883	0.082400019027279	0.0912547676963125	0.0749690855418483	0.0555135689274937	0.0896022782386165	0.213363061563325	0.240249902124912	0.218049158776552	0.229598627137926	0.222647977935618	0.271256642320093	0.283159597163514	0.292533586781763	0.25098884546658	0.136569634202559	0.105027026610108	0.278132245833337	0.0316857604951323	0.029958341708682	0.0600549707861033	0.0802486212850833	0.0560390967353832	0.0913946634258614	0.234464035996159	0.231919627826213	0.175575069877721	0.208282146198493	0.0619351473511103	0.078826881356868	0.203757043183976	0.0214781828695941	0.0741122497905469	0.21654507528326
hsa10800	0.307340631360376	1	0.0686715484360786	0.0509754825063642	0.060407873953042	0.0522743297409782	0.0714732713498252	0.0553884573325442	0.199877004514471	0.0971008113706707	0.0790901619027762	0.10282400100064	0.0753395807070263	0.0647646218077642	0.0877579707640706	0.102003177581728	0.0769579764059302	0.0737197725642209	0.0594070857620283	0.0903915926767293	0.110992110468559	0.072326151610087	0.091725080528539	0.0889481769631466	0.0979644279778543	0.0657409929888373	0.0701224216995655	0.230262828997124	0.101611251780675	0.108400411481574	0.0181215324622245	0.0931327848772537	0.0182506378010613	0.273221116838293	0.0222624534653775	0.0197469083673227	0.033427741615434	0.01780187878059	0.0178276707314107	0.0176916169126564	0.0207840828306183	0.0176517013048645	0.0636531246704896	0.102287281597657	0.0795614747073848	0.0901164632177958	0.0725794410306134	0.0950857312354768	0.0917016107370494	0.0853994985480731	0.0745512205814214	0.09311694475868	0.0795166298656529	0.0563491283993748	0.0437754345984627	0.0719520823625684	0.20965837296859	0.218954002290457	0.203293852184145	0.217407024925792	0.214803291355079	0.297151240901063	0.24228414593398	0.215507887671671	0.249235315790838	0.124540813973455	0.122001449588003	0.358550979182341	0.0426042074929136	0.0415403439014628	0.0919164494577606	0.10695461477963	0.0919441414472436	0.0849372388993403	0.207431299917299	0.205923388968176	0.164440905630155	0.180634256038203	0.067742708219371	0.102396601973275	0.203257573247441	0.0249554377887618	0.0563530105874813	0.221303666676003
hsa11255	0.0907958413653502	0.0686715484360786	1	0.265971536152822	0.226154005059057	0.195214808641572	0.231298972136904	0.202321207123526	0.0940801954477065	0.0926242923940438	0.0742041694758208	0.0886506276904842	0.0820017064786716	0.153063267100656	0.138994909106059	0.141658799077004	0.228639213905859	0.214647126367276	0.227266246905429	0.188563227240193	0.130720629010966	0.172061630046858	0.136376760014695	0.190267449215803	0.192575226888853	0.203805896157161	0.1254977320837	0.0834056344094817	0.0598290220938272	0.0603343452406531	0.0147971950715199	0.0527738672047036	0.0176179236813505	0.0701327067214431	0.0160287917996824	0.0136067749120285	0.0143417185875949	0.0152753086785749	0.0144106319321569	0.0154379958960389	0.0145688296428306	0.0148940047077505	0.189620739814267	0.130842222677009	0.203324501169844	0.176801772483314	0.168191474901441	0.130625158189886	0.145671204178749	0.120590182958598	0.122285915101171	0.123613842246448	0.131095632899693	0.140219804210894	0.153861825862823	0.136402607577866	0.0732205709375415	0.0874043375226275	0.108778359613089	0.105203849094886	0.0921584351029364	0.0635457717438924	0.0656518247790974	0.0532289931720674	0.056891459342507	0.0518724706516758	0.061354508603389	0.0769157142276924	0.0456968916372108	0.0396951682268021	0.0582318663163139	0.0328927559845264	0.0396398115457528	0.347354120506885	0.0543516143583374	0.0967437526012985	0.101533912075112	0.106936155538659	0.0461727371472885	0.0782295606877206	0.0666413003042658	0.0210095534962798	0.0607009421628197	0.0532375773643953
hsa1128	0.0786769199417233	0.0509754825063642	0.265971536152822	1	0.459742133357117	0.493290689293389	0.460738587887375	0.511831899629369	0.0921052857586197	0.115301945320976	0.0920792991497289	0.089224594674413	0.134138111524477	0.137386739047063	0.145483789607193	0.150339523728174	0.208654896527448	0.19902973422589	0.19546026534228	0.178421722300367	0.154205239626791	0.168118413910916	0.139005189218202	0.189723023452237	0.177006611632871	0.189805767009337	0.129394183054209	0.0971809650468178	0.0590960792615117	0.0645614795417044	0.0148636476648785	0.0666485460079737	0.0135349613225891	0.0601690152780199	0.0123623076565236	0.0149616023129322	0.0139130588838732	0.017561648198208	0.0137961206207679	0.0195693842171877	0.0173676666824459	0.0152102402636982	0.221228522478102	0.151314363639216	0.232351338707214	0.216855494259728	0.186505584044795	0.196911875678311	0.196498930895134	0.122626532231369	0.142082801752186	0.147935041031996	0.14501324021135	0.134522080939807	0.147695882470282	0.146786522356922	0.0657133542171455	0.0645484709377854	0.0949429778883073	0.101210927582136	0.0970231445722011	0.0623750008078911	0.0636895570364478	0.0595871587847504	0.084907023515149	0.0585565720417559	0.0624967175352916	0.0657619637123249	0.0312198110496254	0.0392088776605989	0.0374962305870063	0.0296820387849336	0.0368733719994297	0.175761558595401	0.0581937388741355	0.0939791006162035	0.0910722220880336	0.11551620717453	0.0517151850438662	0.0662324569563004	0.0590543413830263	0.0231466549055421	0.0535212215085403	0.0670774187574186
hsa1129	0.0800065765045795	0.060407873953042	0.226154005059057	0.459742133357117	1	0.419230961657115	0.607608788921898	0.419989760199293	0.0997366125365476	0.102593161694761	0.0934164958327326	0.0914726527130923	0.110851610918284	0.124069288152886	0.139829410527522	0.153408996522787	0.184239672621424	0.169227700329437	0.174905755212605	0.132968632115071	0.148148336604249	0.128936616125965	0.142068090956668	0.186635351475498	0.17473323310404	0.17149634084621	0.126129646520532	0.10545744869954	0.0692706436240604	0.0556964763115807	0.0139625008911098	0.0415969666841027	0.0172714331493098	0.064940848028265	0.0157165863674676	0.0176106838678807	0.0142576843568486	0.0146879089283874	0.0132241789927443	0.0143243689027993	0.0167308988449982	0.0153086575975823	0.229148531510164	0.150677592502951	0.216518523860702	0.184264382591766	0.174698689825728	0.175011012858203	0.197770370435503	0.124127260808952	0.124028886226707	0.121820931492232	0.132613934967817	0.147810156869972	0.107718509835287	0.143810938862054	0.054789331530127	0.0743050107161261	0.101455902104598	0.103421012587504	0.101421235632907	0.0619889282192219	0.06565563770446	0.0595807369037748	0.0714200926828336	0.0476911948618991	0.059088912483728	0.0591987347109726	0.0223359909363448	0.0342277456591934	0.0293117271075432	0.0335074313168557	0.0329033871087054	0.166878405354347	0.0639323472870302	0.105715093742864	0.0983412873060025	0.117059977175578	0.0389348945221251	0.088881349039614	0.051864928106428	0.023296424536044	0.0630727393268019	0.0791800849791469
hsa1131	0.0708193993826297	0.0522743297409782	0.195214808641572	0.493290689293389	0.419230961657115	1	0.417546257760249	0.510304730186339	0.0872660564204383	0.0961437692568648	0.0949893580521045	0.0884470901358032	0.108990001567561	0.12752256110555	0.124117343275421	0.13462745582276	0.150734727786828	0.137365227477715	0.145286454372649	0.135076760036463	0.148660582807556	0.123594208185232	0.133460604252712	0.165415623997383	0.120317032635072	0.115244173185548	0.12286596922737	0.103856432485146	0.051306502849248	0.0594024232072861	0.0215182205489862	0.0603499190354905	0.0129861588504041	0.0581344586362919	0.00971080346755297	0.0147604609559506	0.0126855245238767	0.0172767478731567	0.0123542803205637	0.0125172692157291	0.0148860237253588	0.0167466510576067	0.201450115176066	0.133343909394968	0.173280747290817	0.164633406350199	0.149821185808194	0.162467650925519	0.151335075470865	0.119564729367419	0.0969101499549297	0.115360366444609	0.139012293275986	0.126521897961121	0.110536221343446	0.13208078438773	0.0595420125363404	0.0657503142365378	0.0853703123734108	0.09789781929324	0.0952696107375369	0.0625307893211051	0.0521941344523692	0.0428969907457922	0.07236023453646	0.0579564541729474	0.054608419627494	0.0643757102313878	0.0272833481770013	0.0343945820823466	0.0381414076254901	0.0362780429654567	0.0279135736915539	0.142990680528358	0.0528458487220339	0.0876933128035283	0.0851861821069359	0.0913987474310603	0.047404348568747	0.0698772728661128	0.0562508536488792	0.0228718179589641	0.049747727453887	0.0556177038142316
hsa1132	0.0830251852562012	0.0714732713498252	0.231298972136904	0.460738587887375	0.607608788921898	0.417546257760249	1	0.443401437553253	0.100084902830332	0.10542102163848	0.100262495703645	0.102662402280919	0.113254492525147	0.132130327989992	0.139003412309347	0.149016710441601	0.186045351653838	0.17646207126429	0.181335623810372	0.151213273418251	0.147704540679248	0.135297467396029	0.13133836493803	0.206592452901172	0.180729744943462	0.178214065816595	0.118767712604359	0.0965488619538144	0.0687356431556841	0.061322137738098	0.0162436655410722	0.0447598858449343	0.0165685321312329	0.0676431329965214	0.0163758644817637	0.0156200973483418	0.0150791595215704	0.0147442988906263	0.0154468786082862	0.018179623422008	0.0150362390681147	0.0151113068983897	0.225520274971561	0.149133894514749	0.214819590479435	0.189515319670705	0.170889491830325	0.16723302311726	0.189281043129999	0.127763281252546	0.132834788532544	0.129040723843089	0.142941531474933	0.139578180759011	0.107038728470139	0.149354271680642	0.0571734761095195	0.081763993533066	0.0993716480433052	0.105541863775095	0.104207641086954	0.0674257047652676	0.0717120012156263	0.0580388044558721	0.08068715690815	0.0509037349994042	0.0639717360328532	0.0547833539521417	0.036248485307403	0.0393513359921947	0.0386990332354369	0.029887474833334	0.0422985124835242	0.147227224906687	0.0529294304076254	0.0953293326059918	0.096340895740845	0.112013632453866	0.0562334998409983	0.0737432341550281	0.0575491416220625	0.0269609448137683	0.0568750230820645	0.0711661353146757
hsa1133	0.0759032259882426	0.0553884573325442	0.202321207123526	0.511831899629369	0.419989760199293	0.510304730186339	0.443401437553253	1	0.0888721390162607	0.0988929178314067	0.094770202248767	0.0966857762073077	0.121096589044586	0.121503325138947	0.128765062414308	0.136443132454838	0.161761681076759	0.173414713982985	0.144933079331994	0.13699414717767	0.156019327216985	0.128794759070009	0.139111970254762	0.167152408030299	0.13701417143672	0.130504150519877	0.118208807023431	0.093921662761213	0.0600139123976448	0.06239891712608	0.015529807469359	0.0668891988512567	0.0176392742270855	0.0625940623033198	0.0156254500269914	0.0154225635699753	0.0137279296362446	0.0162002636122544	0.0112692818275548	0.0126031591871677	0.0197323803714425	0.0146981916543365	0.218423357486111	0.14458280706145	0.182082228252226	0.159449098979999	0.153242167298863	0.153782774105613	0.155885841444339	0.115722764707334	0.100277291689849	0.120203888511053	0.13249442419576	0.120653244210278	0.124840864194292	0.134024539161369	0.0673063092391016	0.0709644665964256	0.104553776931736	0.109518089611533	0.104800628633633	0.0616651566231393	0.0559800264789876	0.0499227995577128	0.076757422723851	0.0526262021777605	0.0542227839464213	0.0664990226824135	0.0207644918157446	0.030322183483315	0.0255463446598006	0.0285228368658257	0.0369906171471291	0.142239046903783	0.0456301603783357	0.0934742449665934	0.0796926148517527	0.089946332575976	0.0445776675490631	0.0744363417233092	0.061237653829484	0.0205371440800888	0.0481758776212576	0.0716721071794032
hsa1241	0.162123472652252	0.199877004514471	0.0940801954477065	0.0921052857586197	0.0997366125365476	0.0872660564204383	0.100084902830332	0.0888721390162607	1	0.130153974734623	0.0969287953996116	0.123416327983308	0.0986207765017177	0.087359203152216	0.0842973815439414	0.10366490426832	0.077802834675813	0.0778787028895256	0.070149011173878	0.102064829165153	0.0992621440866753	0.107863649235298	0.0870948477067492	0.103304099509432	0.106448734542152	0.0818764013727795	0.0845664673001666	0.198221236228693	0.094404729236573	0.0983775278348115	0.015494443308617	0.0931535618512717	0.0142614916657287	0.148553330185909	0.0133092625237083	0.0140653294538067	0.0164190709392215	0.0175139510145274	0.0160226401445851	0.0191951877769456	0.0149327422101227	0.0170671179120045	0.090095271273274	0.114151547703716	0.0912566101999042	0.0987425711925022	0.0994144015548883	0.0777721807194849	0.0799628288883198	0.0742229150706917	0.0823954167934183	0.0760137431040588	0.0857898813998253	0.0901787189039325	0.0610466737060772	0.0807549412129597	0.113800604183498	0.17234572005939	0.175212920380798	0.18691145859127	0.166664417366587	0.184719307464251	0.163988253646086	0.136963065360709	0.16748477185584	0.126387117433593	0.355805197164018	0.150393631845638	0.0665839250888901	0.0802662942251769	0.0872112237438822	0.0676899201884515	0.0749175467914918	0.0912827121340227	0.116555001746919	0.220415140998691	0.227135720515768	0.233429655940062	0.0864993458634337	0.10376706989471	0.114524351152891	0.0423866124208826	0.0571650941757951	0.125579979199444
hsa134	0.0889566462687573	0.0971008113706707	0.0926242923940438	0.115301945320976	0.102593161694761	0.0961437692568648	0.10542102163848	0.0988929178314067	0.130153974734623	1	0.448234222052559	0.449314926910398	0.518974712084623	0.138775897173409	0.144968943478747	0.157776187038151	0.127820988341014	0.131733495047468	0.109421875930636	0.135949509939753	0.157467096368881	0.154920696964699	0.177405186293393	0.124662398234543	0.127609417675606	0.113787978156982	0.155550034870524	0.111244844006013	0.12226952599899	0.122067754568527	0.017524399127578	0.0553574792787439	0.014199794022568	0.10394184069193	0.0184629040700872	0.0191550644340751	0.0185014915337342	0.01631122529404	0.0196922195601524	0.0179785813344626	0.0166589810898858	0.0155462825102718	0.119607338369538	0.20693036972768	0.142369809514439	0.13621679753326	0.121675075175637	0.121856070834331	0.133809909352211	0.144079468815061	0.140219651327828	0.152761617466948	0.189758892523132	0.142680636316664	0.152704992366723	0.14496300791753	0.085783098014736	0.108834219469089	0.110088362153892	0.132930605550679	0.128457240370485	0.0776094055123458	0.0939501103765937	0.0826516420516394	0.0840981329389977	0.0803707974946682	0.0504095957860757	0.0920711820804591	0.0469032017347632	0.0546865038156521	0.0768210125197226	0.0480926802191274	0.0628980497315151	0.114780520769846	0.0776357899135081	0.138246502052513	0.142351426703113	0.162693859629788	0.0629826667176199	0.136461386184908	0.0780216721164811	0.0248817292183735	0.0584855252330623	0.0953190112425132
