D00049	D00059	D00079	D00094	D00095	D00136	D00139	D00180	D00225	D00235	D00241	D00255	D00295	D00300	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00397	D00400	D00410	D00411	D00415	D00419	D00426	D00432	D00437	D00440	D00443	D00451	D00454	D00480	D00483	D00498	D00503	D00509	D00513	D00520	D00528	D00542	D00559	D00560	D00598	D00601	D00604	D00609	D00627	D00632	D00665	D00666	D00673	D00674	D00675	D00676	D00683	D00687	D00688	D00726	D00765	D00769	D00775	D00780	D00837	D00987	D01020	D01022	D01024	D01051	D01103	D01118	D01126	D01164	D01227	D01269	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02150	D02234	D02250	D02614	D03274	D03365	D04034
D00049	1	0.000456713648536132	1.75269800153550e-08	4.52925795598196e-13	2.3793578881852e-07	2.90140808601824e-28	3.69563664514567e-31	1.67923354664893e-06	2.00056200090169e-81	0.000110470325611879	4.27794603691151e-05	7.44628363808188e-05	9.59335091369306e-16	3.1413740504793e-118	0.00117979924686498	9.32227161364766e-64	0.0173759573806182	4.04215753651228e-19	1.03419134105173e-41	2.46055796074413e-06	0.0185200375625179	3.79363772888793e-221	4.47501001335973e-05	0.00210331838440879	1.85910141159429e-14	2.42489383566752e-16	1.56016737147041e-42	1.87830203719818e-06	0.000154422431764404	0.0194677527102292	3.41970868215106e-28	5.8566170963138e-14	7.085254459397e-14	1.35270153985275e-05	6.12214373196064e-29	7.44366084474643e-05	1.26662940567104e-15	7.46157441115303e-29	9.64248274342086e-09	0.00281335759293027	2.02585645984464e-32	8.3083138528867e-45	0.0168589368592772	3.51445586055366e-60	4.63415759986331e-29	0.0473610650841846	0.00293896680429128	7.87428448714951e-33	0.0309962667338163	3.93925425359767e-16	3.05365166888353e-16	7.9938559185971e-09	5.28499044878008e-33	2.48712194875494e-28	2.71619064060171e-16	6.705215381271e-14	6.4837966982381e-14	3.79549075333873e-82	5.92858160153331e-103	9.01949791688552e-32	4.59786069335928e-29	3.8688034259501e-06	0.0452076440522946	0.000161311995076675	0.00782501479368719	6.93822887435054e-13	0.00918440476614922	0.000126588373066337	0.000175393304643154	0.0410007842777210	5.19726315681072e-40	1.15222587766361e-05	8.61381311143065e-29	2.16217267230629e-61	0.0061469028682784	0.0102657336952074	7.66052522025754e-61	2.01599409239954e-08	2.57392670949907e-13	3.45008079503528e-86	4.38894644007941e-31	5.77398662173918e-14	0.0841616071589762	4.22487165912417e-37	0.00440778744505234	1.06153541808072e-41	1.66458063378812e-28	7.60246599233319e-42	1.83631121822224e-118	1.39171903773420e-28	8.48842084534731e-29	2.16823886829632e-11	7.72719614655746e-30	3.99720669769505e-261	0.000778470363234269	2.90787520939691e-16	3.52077010374801e-14	4.89948539231205e-13	4.42909822592854e-37	2.43296815227196e-81	4.23638259298292e-13	4.24233710755738e-13	5.88966673073969e-28	3.30703092331057e-06	6.77963122092946e-28
D00059	0.000456713648536132	1	1.00996185922584e-07	3.06542962113762e-06	0.00615655154329286	0.0453601367531208	2.90705844193693e-14	1.25774727799126e-10	0.00669047274645675	0.00291516114989113	0.0499311210496465	0.0173721503181190	1.55189994492283e-09	3.61730130052299e-57	6.33480378498321e-06	0.00059607588501926	0.00147193335460833	0.0228560629514388	7.91565737577945e-25	0.0162178637061757	0.00176086794260012	0.000389475885920991	0.00164340147058559	0.00534840443531563	1.78765454501651e-19	0.0114758188582929	0.00680073562529199	0.0457875926828766	0.000259646269219393	0.00653133083485585	1.87040151203537e-10	1.40214692848372e-14	0.00387563584668693	0.0560348980110831	0.0111070090892877	0.00138774400432249	0.000198135352658595	0.0471558578589905	4.26993389035484e-09	0.0247498151172695	0.0430919398102798	0.0381623688554021	0.000105403187160712	0.171782229618852	0.012367990044193	0.0190753117476352	2.87082856671539e-06	0.000212506644613386	7.92278570874154e-05	1.10128452256468e-07	8.08092101665909e-05	0.0139441720646277	0.00765237174581299	0.00190535428385449	0.00429027509135675	0.00864457512402028	0.00354727972152138	0.00043896336988552	3.99899988629223e-09	0.000729103015623453	0.00081561452930699	4.82874496085489e-06	0.00191330566079336	0.00435546082865444	0.137696638146161	0.0310892036554696	0.128604693286399	0.000132275954549432	0.000591135712879153	0.000183831031027517	0.0291511674874309	0.000503255851504172	0.0517707680611071	1.07425966921999e-09	0.00419449799458962	0.000641618491286859	0.000529404062692947	0.00847631336635743	0.000281000667498918	6.68157416053139e-16	0.000887146881917418	0.0351827937686715	0.0183834322410051	0.0164137018906713	0.000760248435232898	3.0107515137357e-32	0.0186077564260604	0.00665700585948091	5.09832841840692e-13	0.0155597821117984	0.0773430258531034	3.87486060880453e-09	0.0040828177322008	0.0218642253584171	0.00266400805851272	0.00682586556469583	0.0237053132702904	0.0265231509226749	0.0171331975057940	1.07703003841300e-13	0.00235065043200849	3.88950732359662e-09	1.96000177854958e-05	2.99570982445388e-07	0.0019885646289632
D00079	1.75269800153550e-08	1.00996185922584e-07	1	1.34434610689687e-13	0.00558020721527393	7.85633909418648e-05	2.15323629800196e-08	9.70763603858961e-08	2.48204416072111e-10	6.03672627941545e-26	2.54069360525578e-05	0.000173776047910411	0.000201175785937534	6.53155597824988e-13	1.00956953168427e-07	4.57859277786156e-05	5.48588670941755e-26	1.49755148921098e-07	1.04877356525505e-144	1.8806295160614e-12	6.56274417111131e-26	2.50450314488724e-07	8.12639536072247e-07	1.31870173866552e-62	2.59780308814636e-10	3.05686906147107e-52	1.15521272656871e-05	5.66027600631357e-26	1.8564153518769e-34	0.000114011018012978	1.23061014419243e-34	1.13575197062173e-34	3.11534486103651e-52	0.0128355917718709	7.96959406029707e-90	0.000399977292770144	5.06052758462057e-05	9.64315806129714e-90	7.28158776043478e-41	1.24131847920161e-34	1.58850247878908e-144	1.49004135456953e-25	0.00749252022697543	3.42579029825581e-12	1.04615756136176e-62	1.18041932473879e-07	1.29691533155834e-34	1.54476398882090e-25	1.37572864349571e-09	7.07467887087847e-07	2.91492109521389e-12	7.9799771241867e-26	4.49295517675259e-12	4.30790749602274e-05	3.42408356695212e-52	2.94824390562746e-52	2.85088740843624e-52	0.0121631177452103	1.43226078742514e-108	0.000195809042565972	1.83092532391667e-105	2.34887940112671e-08	1.57887151728733e-08	0.00199462131150765	0.000177809478293749	0.00116804609903659	0.000369455861389637	0.00104432949802034	2.62266106950067e-07	6.0509193540377e-57	5.7886364723761e-122	9.8239658568172e-92	1.37426398378761e-71	9.95712950907486e-13	1.69089844098034e-08	1.78219311710130e-08	4.34699338902613e-15	1.19674959355557e-08	7.20112129993663e-05	1.75914963903361e-61	0.715573704900713	9.67756346084966e-05	0.024320965238398	0.000213390478007363	0.00133531086227024	0.000100578261125955	2.14354691135135e-108	2.62024371999255e-12	6.57141773955188e-12	1.03778085226271e-05	7.97018906761162e-92	0.00781614433781836	0.000309602405222682	2.86513064962317e-07	3.26014224438012e-12	3.66572492019106e-52	4.24035216781450e-13	0.000226151142456263	0.000223703841134412	5.28541367928798e-92	0.000195543712278359	0.000270309265017063	1.36629478069165e-05	4.91640292421005e-12	6.03541979338142e-92
D00094	4.52925795598196e-13	3.06542962113762e-06	1.34434610689687e-13	1	0.00308262056358401	4.87614794532688e-08	1.70520176022364e-05	0.00350665963154249	2.22856903519261e-07	8.85128729758983e-06	0.0242686522776807	0.00139955956928049	0.0352038976397045	1.23073013545621e-05	0.0367738867769443	0.0125540673801071	0.0083722858515472	3.32215355481166e-24	0.000128355451519929	0.00257053844988202	2.03860705601637e-23	7.06130408900806e-27	0.0110036739788339	5.08783785228977e-06	0.000159663905165262	1.34735679632804e-07	3.2532284258817e-12	3.06525247211958e-06	6.51593813352765e-08	1.46417783092553e-06	1.67006609593455e-23	4.25591823680729e-10	1.35431920811128e-07	0.00155017085698373	1.56038139372451e-08	1.60404135327687e-07	1.56892095093367e-08	1.01987527823995e-07	9.0087466021e-32	0.00465766239907518	1.52090235442952e-17	1.57509213693747e-13	0.000146612425655937	9.6509154868697e-18	8.1618770720746e-22	0.00184622567521056	1.71525069978223e-17	1.04930655787287e-16	0.0156598551874321	0.0114342492610485	2.50600911067044e-24	2.26567990434967e-07	3.86828405190698e-24	0.0395676907392034	1.48853573256046e-07	2.563352392517e-07	1.30589406888494e-07	1.85344449966156e-06	0.0138948865744881	3.35498219681208e-08	6.66631497464721e-07	3.35220054904018e-10	0.0272458875859571	4.04618027929293e-06	0.0117963924014364	0.00027359615195875	0.0252368904578638	5.85003649899993e-10	0.000362462458809106	4.61855726999801e-10	1.17812750110986e-37	1.15760056662254e-44	6.95478147945216e-41	0.000274156586608928	0.000243990088335456	0.0132797035288049	0.00191240146171097	9.77539185081774e-22	8.36480076513279e-05	2.88219891033009e-08	3.98931781368675e-08	0.000688792917997773	3.08894081541928e-08	0.0323806631404008	0.0675844548681611	4.00551636205462e-06	6.02068710118585e-08	0.000239775432320889	2.80600357153359e-27	9.91930871431273e-22	1.90225613243097e-17	3.7177720510977e-24	1.29385555565607e-11	0.00265184539912679	0.000235630798036443	1.59358334069480e-07	2.81241091099814e-13	3.06148935999584e-06	2.63658795795028e-08	0.000240182566469592	4.45772913995064e-07	0.0165190413068327	6.58760066847306e-08	0.0159859749960735	5.80641879461004e-08
D00095	2.3793578881852e-07	0.00615655154329286	0.00558020721527393	0.00308262056358401	1	0.00687686052622936	7.47089574117098e-05	0.00109919575260695	1.47163002842683e-07	0.00504680393701478	0.00248391714798523	0.053483890472817	2.74782106262138e-05	0.0211455079366845	1.16998257213348e-09	0.0050047451349407	0.000714848214375053	0.0358856992134963	0.00518835817445369	8.5327607577124e-05	0.000880627996136628	0.00165173544637551	5.13811368688022e-12	0.00199157917322662	2.57830713285649e-14	0.0266816924200441	1.58840271064209e-11	0.0188320986160888	0.00141800379180172	0.0221441405712548	1.93834086996874e-31	4.30152846701647e-12	0.0143495363665348	0.00138367062230200	3.86500531853399e-05	0.0320913144205904	0.00142156988937165	0.00786002476202289	0.00268817049260564	0.0687606233940228	2.38825245847191e-27	3.38931813248271e-05	0.00708412933664186	0.00316495967777832	1.29074495278554e-11	0.0372359432465119	0.00101959266045613	0.0113019618149149	0.015233493621764	0.00545849768405665	0.0253286642917119	4.65801778217978e-05	4.75666069386985e-05	0.00214469149523354	0.0125377175102995	0.0274675331437905	0.0131337466582723	0.0642786430108989	0.0281194675734225	0.000838061530640782	0.000135548239884689	2.72828005230512e-05	0.00277092710900346	0.00117884480254600	0.0158538929402544	0.000599314848298704	0.0112753485690466	0.0805281531327874	0.0401674567327760	0.00105589990341654	5.38260944098388e-05	7.01539970875671e-06	5.39725612165355e-05	2.45633715842449e-06	0.000108362189045712	0.000944076403052368	0.000170522263509297	7.19599849428191e-05	0.0127223563141123	1.13245490521301e-61	0.0254751248167362	0.00779826797028188	0.029979852635218	0.0228927718259181	0.0215007493483368	2.67136722461180e-05	0.00666787374111407	0.0230460849603006	7.55694054679788e-30	0.000535679909160921	5.31868626184555e-05	4.79316603322945e-33	3.08808596116595e-06	0.0343254775238733	0.00246006227279807	0.0133933908548624	0.000137858585396532	3.01253444615898e-06	0.0423407014239085	0.000163164097481566	0.0161794385427981	0.000108290322322508	6.88979120531118e-07	0.00978284490253215	6.13529537981839e-07
D00136	2.90140808601824e-28	0.0453601367531208	7.85633909418648e-05	4.87614794532688e-08	0.00687686052622936	1	8.90513981151624e-05	1.17518030730485e-12	0.000314396709368324	0.000563357363608518	0.000861173929289035	0.00019637833465383	0.0383665543584877	2.53068649388467e-06	0.0270432200310758	0.00031594078312672	6.48062300060942e-07	3.08450100660861e-11	6.67755167483186e-05	7.12811626166897e-05	6.15550444497545e-06	8.95529231079282e-08	1.44111636541325e-10	0.0122997328680932	0.000732080421426064	0.00173142087613388	0.000621921288502887	0.178597081280601	0.000230902792155247	0.000477694218784834	2.66970937600708e-05	0.000331156277469606	6.49719318017252e-05	0.109026925983274	0.000150625942154329	0.000228158373088305	2.98216573921322e-10	0.0900670107390309	3.27863752962469e-05	0.00222438642209726	0.0018556729409119	1.55213747637196e-07	0.0339578606836298	0.00799788804017724	0.0866428808413053	0.00123729415817617	2.78482930990101e-06	0.00023257324091659	8.67049080082831e-05	0.00650769443728359	9.4714441229853e-05	0.000337614015480812	3.17178770520216e-06	0.0290649504782058	5.38045425065197e-08	0.0264014755673138	1.15717295184966e-05	9.9708193113741e-05	2.27371827264628e-07	0.00258316797534121	0.0582615633456734	1.33013312787130e-13	8.79448633206487e-05	0.000146898153029045	0.0233153749384528	5.2053555552877e-10	0.0235809660851570	3.64152641399308e-27	0.000201280901494033	0.000114777379016440	0.192263180434218	2.71723927877603e-06	0.000184012800891668	4.51444484802044e-10	0.0991173985474272	4.63622274525907e-05	0.0111884054668334	2.98620590481422e-05	5.96542189576925e-05	9.09599488924298e-63	5.45052542154624e-31	0.0264711986843701	0.0279328031409272	0.000134084494014743	0.000149866144261784	0.0112365071010122	0.00065415843290246	0.0234811032466609	1.48580648929459e-06	1.00859526728508e-06	0.000168440752922251	0.070792836135902	0.00615405628931475	0.000320023668078576	0.000337797907557468	8.30587862055829e-08	0.000187272351554869	0.00567706626957798	2.16688620427206e-05	0.000134385063430915	0.0140082039229473	0.000129109469562487	0.063515022631424	0.00021915225498869	0.333955982804283
D00139	3.69563664514567e-31	2.90705844193693e-14	2.15323629800196e-08	1.70520176022364e-05	7.47089574117098e-05	8.90513981151624e-05	1	1.09231543554522e-11	1.62536178844838e-41	2.21304973710079e-11	2.03464307706609e-08	1.71971466002572e-08	1.53164174439003e-21	1.64025228560529e-40	2.1683047844846e-14	0.000392159186086536	0.000144922769509197	0.00509697958692317	5.18221939953951e-08	0.00139153514203478	0.000180333430268789	0.0197217330813355	2.61413048794023e-22	2.81386695535606e-22	5.60287356998352e-08	0.00419083045330973	6.43273112924902e-41	2.33457412093797e-14	3.04083086404435e-60	2.65796132486746e-08	2.32794893744415e-22	1.31711177666386e-35	0.00427103243174062	9.21744041515806e-16	1.24480141092163e-08	0.0179501673041549	1.98889165256502e-22	0.000105035193119508	2.92970407166451e-21	0.00012083447952967	2.63158198127418e-56	1.88252920233191e-08	0.00126008731801997	3.69933995258729e-14	3.07605439704938e-14	1.32822269364509e-11	3.00481775293011e-11	3.98630128526341e-60	2.42888342896784e-14	4.84235114361276e-14	1.76241304006111e-22	0.0253543262952871	1.73550274698015e-51	6.00145120714537e-06	0.0046942650791069	6.95274069404967e-05	0.00390843884041074	0.000103175490374469	9.0005083957777e-10	0.000142232359669852	0.000113970849234812	1.72488777223524e-08	1.3739089143934e-08	3.8290180604768e-08	2.45496167345323e-14	3.87557601933286e-05	2.88144654179804e-14	3.06694922083665e-31	1.64349009313383e-62	3.21284234045966e-14	5.95437082414267e-14	1.30615660197700e-66	0.000783006712097275	2.54259111449061e-14	0.0155956661002174	0.00685215189822269	0.00378386822217273	0.0434531057174517	2.56469422672807e-05	9.51578079411574e-63	1.61206960880434e-14	0.00465010822257709	0.00555129482229945	0.000106632055166590	0.000974067592460473	1.46068062699146e-08	2.79668643376422e-60	0.00205144386689769	2.42932994021896e-57	1.66504852661820e-57	0.000771608393522421	1.59858821828097e-57	1.33697146084011e-10	0.00833887172875049	1.43912566257248e-41	1.61288109095583e-13	6.81877672447256e-25	7.15003672418061e-15	1.87215083560007e-60	0.000139532460040830	2.01760094650404e-14	0.000135074563376695	0.00143853086885323	0.000685723108472875	9.04967227380513e-05
D00180	1.67923354664893e-06	1.25774727799126e-10	9.7076360385896e-08	0.00350665963154249	0.00109919575260695	1.17518030730485e-12	1.09231543554522e-11	1	0.00164668705376842	0.0135493446794522	0.00117788040078189	0.00364131900907192	0.0208176083590769	0.00502754115350114	0.0144754509658176	4.23574866420866e-05	4.73678970448173e-05	0.00782369969220575	4.32942637570173e-08	0.0215811531829022	4.62637407015397e-05	0.000336464570306320	0.00880491559939672	0.0155478939663346	1.17362261052037e-17	9.64847547287778e-08	1.36490162167237e-07	7.9945602943393e-07	1.65712381066327e-06	0.0327469329979273	4.01784490505156e-23	1.47804433928150e-13	0.0343052830950533	6.26760188905377e-05	0.0342029253067364	3.02345330096400e-05	2.56737497868211e-25	5.5244753860246e-24	0.0471383736455854	1.10805935301080e-06	2.52384295534598e-47	0.00956310677553174	9.86350906935622e-08	6.7524191079697e-05	1.90237790613766e-21	0.000307358117927726	0.00829763822345759	0.000199058214269396	0.0456031044175138	1.70395123792458e-06	0.0350756247836985	3.30468175112006e-06	2.01403079414054e-19	0.0301172685930892	5.32087590523465e-15	9.42664433617948e-08	0.0313937700778597	1.37415610680832e-06	2.49709745688497e-06	0.0452243176848124	7.8168291812643e-12	7.28803315637272e-05	0.00488444497441525	4.62125914799921e-11	0.00996025250483106	0.00144878830911004	4.52599472988393e-11	2.19426528505964e-16	5.71894150158054e-92	0.0190720018951065	6.35767763288958e-24	1.77523389913155e-83	8.32270206712602e-08	1.27864948783328e-06	1.26431381432919e-07	0.00811561523818444	9.06592185910692e-06	0.0280762566578802	0.0237210929261061	7.71203026831459e-05	9.88065785668047e-08	8.1522368527734e-23	3.32411888520219e-32	2.95273325032593e-09	0.00291179668498605	2.20643574251908e-05	2.90872435345600e-09	3.74286184047622e-08	7.88546856949539e-30	9.63733580609576e-30	8.20154753792587e-08	1.22502180987918e-07	2.36515321127568e-34	1.19393270308057e-05	1.09549384867733e-22	0.0194115017733788	3.42733954777988e-23	7.99056484081899e-07	9.35155017626245e-05	0.000116736960519383	0.00137603181448231	0.0269407205548419	7.04617741221417e-08	0.0118956158797381	4.75911644118659e-24
D00225	2.00056200090168e-81	0.00669047274645674	2.48204416072111e-10	2.22856903519261e-07	1.47163002842683e-07	0.000314396709368324	1.62536178844838e-41	0.00164668705376842	1	0.00238524689316976	0.030256381886561	1.40512147860674e-09	0.00115074594125745	1.28184157446353e-72	0.00127730259826511	0.0798607080724492	7.8973679453759e-05	2.15932549101410e-14	2.86176055594607e-10	0.00220048621532552	9.41213754113005e-05	1.15379855428647e-07	0.00189002579120355	0.0030591531559084	2.74186077565645e-10	0.0205592366035578	2.19889915316064e-17	0.00539349816018046	0.0224848177875352	1.60486838832867e-06	0.0117231475694506	1.76982919075801e-09	0.0199884659884272	0.0160016620837165	2.39457327611081e-08	0.00467759669734226	1.35501449679798e-10	0.0114423810628947	0.0184484308293245	0.00170011131011137	3.66846521147957e-27	0.0306038026379002	2.52189770944196e-10	4.23591140617977e-06	0.00172409445525548	3.00047184275375e-06	5.1658859865311e-09	0.000651739735351574	0.0112856862389275	1.13595105650288e-14	1.91025401766602e-19	0.000441315884466992	0.0133889386618039	0.000507123012975835	0.0218941854523536	0.0251357306998672	0.0182290801789819	1.05712378580271e-08	6.4023670441786e-08	8.34496135878126e-12	0.000402189306921416	5.01652934977936e-08	0.000959790839481955	2.33349539273398e-07	7.1023804027849e-05	0.0102442849835442	2.37129755373207e-07	2.4554489745777e-30	3.77859606484051e-14	0.00168584388833645	4.29973857707546e-13	5.10969574660771e-07	2.33547032188098e-05	9.37730527060483e-32	0.0267731817565956	4.42433710111712e-08	8.20663249716274e-05	6.13423968700149e-07	2.39262905680400e-11	3.02682608665909e-37	0.00924283395139564	0.0140359527945026	3.06685369622863e-10	1.40169866687224e-07	5.21834839903965e-05	2.08531278976224e-09	7.47306263505942e-52	0.00377522254709134	0.0322874565320271	2.71729497496135e-06	2.30147261929908e-05	0.00122461078591782	0.0330165843365065	4.9907558341189e-07	0.00152192538941119	0.0238320914157932	0.00206975674834145	0.00747058147549896	1.46937850513436e-07	1.38293356827215e-23	1.72030936675790e-10	2.84489785801346e-19	5.39899820444404e-11	0.00348237358954878	1.38884193143022e-07
D00235	0.000110470325611879	0.00291516114989113	6.03672627941545e-26	8.85128729758984e-06	0.00504680393701478	0.000563357363608518	2.21304973710079e-11	0.0135493446794522	0.00238524689316976	1	0.00609908141289854	0.0455566155576241	0.00829167821581174	1.55065826633895e-128	0.00244652192012711	0.00129716061662123	0.0247709754728469	5.43646687345414e-17	9.78515551116203e-05	0.0160830478388853	0.0297078107100377	9.35029541801158e-08	2.42075445869326e-05	4.53953277937144e-05	0.0321668353404876	0.00223885309625183	0.0088679284114358	0.000719807611786993	0.138745346860632	0.0620847313539885	2.76811862207169e-05	5.89092758945824e-09	0.0390213567463434	0.0101465141356283	0.000134372710249469	0.338262716001602	9.6319625272551e-06	6.01715673113974e-08	0.0794209108949443	0.191177673911739	3.09224801946362e-45	1.15182677827239e-07	0.0118695144399763	0.0148170508189732	0.00105615805033115	0.121713431784776	0.176896344516970	0.00144950423631918	0.0335621074775934	1.33008865441352e-06	0.0554278182463692	2.14612175168835e-05	1.56602125542354e-10	4.02766880955581e-05	0.00291106093084325	0.00465704894742668	0.0357088860368559	0.0181782643665478	0.00246403740423330	0.0599243099520556	0.00164533890105331	1.82240877469975e-06	0.000960261597467964	2.88572802484966e-07	0.0118823155301770	3.88246225410701e-05	0.00399530554427513	4.37927070551016e-09	6.60160731586271e-05	0.000271775741982724	0.000869088489582529	3.62755836644198e-11	5.70650232373147e-14	1.61894601790874e-43	0.000287891781558043	0.0102658421029142	1.73888892540490e-06	7.34510431865155e-07	0.00244814411537158	7.66135361258406e-16	0.0174603661402643	0.00380680262909197	5.92772299255456e-05	0.00844528637219949	4.58091168438886e-06	3.63310021213072e-05	0.000681752766778701	0.000333428300281999	1.06482440651053e-06	7.28731820956788e-07	5.62343211447776e-14	0.000176454184665194	8.20552315003969e-25	9.47188200450494e-30	0.00309566669654129	0.003320547322634	1.78766043194205e-14	7.92421792757687e-11	0.0283705405296069	7.20982212288585e-07	0.00189056118055478	0.00127390222216543	5.88092339542643e-08	0.00408942170755317	0.000245785397816606
