D00136	D00219	D00225	D00228	D00252	D00293	D00303	D00319	D00331	D00332	D00336	D00340	D00351	D00358	D00364	D00367	D00380	D00392	D00437	D00451	D00456	D00474	D00477	D00480	D00512	D00513	D00528	D00537	D00538	D00539	D00542	D00545	D00547	D00549	D00550	D00552	D00560	D00593	D00615	D00616	D00617	D00618	D00619	D00629	D00631	D00633	D00636	D00638	D00639	D00640	D00658	D00677	D00678	D00694	D00697	D00708	D00711	D00726	D00738	D00740	D00741	D00765	D00771	D00775	D00809	D00816	D00831	D00960	D00963	D00964	D01108	D01111	D01118	D01253	D01275	D01350	D01448	D01450	D01453	D01575	D01599	D01768	D01799	D01828	D01854	D02041	D02086	D02101	D02163	D02234	D02253	D02261	D02272	D02409	D03274	D03365	D04034	D04048	D05461
D00136	1	0.332547798808577	0.332547798808577	0.453474271102605	0.293425173895117	0.352109610087504	0.34129913543336	0.15871624429701	0.204644799266816	0.187058323888148	0.473881087183309	0.1617800102312	0.424473247389183	0.228032576797002	0.393807155182059	0.482731190603105	0.293425173895117	0.058685433836781	0.084905523801732	0.210030083706007	0.262538103454706	0.199528878814025	0.332547798808577	0.304836230474491	0.322766893169113	0.256537272424374	0.110849266269526	0.066509958819473	0.142520485203676	0.058685433836781	0.0643640257278282	0.058685433836781	0.0855120915933266	0.146712586947558	0.323560020462399	0.225274090047399	0.577583229013716	0.27594444882222	0.230225399175169	0.332547798808577	0.23943465457683	0.10180063161531	0.27594444882222	0.106132403574362	0.409289598533633	0.266038837633498	0.31743248859402	0.260255493081073	0.176055303865949	0.404450025577999	0.149646659110519	0.281386598991873	0.274352208369284	0.306967198900225	0.296596685423866	0.205397023139945	0.30231618073507	0.242670015346799	0.322766893169113	0.256537272424374	0.277123664496011	0.140020388352136	0.232783359401564	0.205397023139945	0.370554059645072	0.381452327005894	0.261288055028936	0.17032982268838	0.090694854220521	0.332547798808577	0	0.255805999083521	0.288792113329055	0.342049364017701	0.199528878814025	0.0359477224368364	0.319999427619963	0.360260364787057	0.107853340154133	0.264681043613168	0.296596685423866	0.224469988665778	0.405293035090988	0.199528878814025	0.292412564835136	0.262538103454706	0.256537272424374	0.185276531000339	0.421227411353076	0.281981256556147	0.0534448078347306	0.358128398716929	0.226737634373499	0.15871624429701	0.325761821640112	0.225274090047399	0.290223733034546	0.370554059645072	0.202683489410043
D00219	0.332547798808577	1	0.188743345269733	0.256537272424374	0.176055303865949	0.199528878814025	0.204644799266816	0.11876756982526	0.228032576797002	0.172007860559206	0.61619206706423	0.257457100555707	0.260255493081073	0.257457100555707	0.255805999083521	0.234739740058336	0.537193595719787	0.0321820128639141	0.145996278272616	0.272084562661563	0.221698532539051	0.225274090047399	0.289639113419621	0.131269051727353	0.138561832248006	0.176055303865949	0.090694854220521	0.157523061601702	0.240810406196253	0.066509958819473	0	0	0	0.166274398226485	0.183777071476052	0.258648287962226	0.243868186264077	0.554247328992022	0.199528878814025	0.181389708441042	0.136931681308095	0.136042780152978	0.119717327288415	0.142520485203676	0.243327463002491	0.172007860559206	0.148585165475228	0.349175537924543	0.16091006431957	0.199528878814025	0.234739740058336	0.393011034955591	0.204644799266816	0.145996278272616	0.188743345269733	0.193092077183484	0.299293318221037	0.234739740058336	0.412818266755459	0.211621326514549	0.199528878814025	0.0890756773689451	0.178150357093496	0.155881936573457	0.188743345269733	0.193985966560571	0.224469988665778	0.12790299954176	0.12790299954176	0.157523061601702	0.0935291619440742	0.450549177739191	0.124705549258766	0.193985966560571	0.191854998134837	0.0568362638528359	0.178150357093496	0.362779416882084	0.0880271531107774	0.0941177721365755	0.628146839838372	0.153483599450112	0.706664446584873	0.157523061601702	0.24503543020514	0.256537272424374	0.249411098517531	0.12826813738999	0.176055303865949	0.163730724731787	0.0184753765337846	0.255805999083521	0.184180119811256	0.145996278272616	0.150587437774127	0.306967198900225	0.116392178522979	0.374116647776297	0.109937767266203
D00225	0.332547798808577	0.188743345269733	1	0.418367164875277	0.332547798808577	0.678398187967685	0.304836230474491	0.174587768962272	0.30231618073507	0.030231618073507	0.340658647732367	0.21823471120284	0.34801527749424	0.146712586947558	0.360260364787057	0.498822197035062	0.176055303865949	0.0321820128639141	0.145996278272616	0.234739740058336	0.374116647776297	0.266038837633498	0.211621326514549	0.386185152011363	0.36580327704051	0.211621326514549	0.199528878814025	0.0475068284012253	0.240810406196253	0.066509958819473	0.0356298718898204	0.0321820128639141	0.030231618073507	0.166274398226485	0.7981155152561	0.213781226627711	0.332547798808577	0.166274398226485	0.249411098517531	0.299293318221037	0.260255493081073	0.136042780152978	0.243868186264077	0.142520485203676	0.34129913543336	0.213781226627711	0.285040970407352	0.173503329505918	0.199528878814025	0.370554059645072	0.166274398226485	0.242670015346799	0.381452327005894	0.467645809720371	0.374116647776297	0.232783359401564	0.257457100555707	0.199528878814025	0.205397023139945	0.211621326514549	0.199528878814025	0.0516021586388831	0.31924620610244	0.232783359401564	0.465567716447523	0.481621810036899	0.224469988665778	0.188743345269733	0.0729986379585051	0.332547798808577	0	0.215706680308266	0.405293035090988	0.534452068924883	0.191854998134837	0.00906473953223255	0.244705209910702	0.183777071476052	0.193092077183484	0.31743248859402	0.188743345269733	0.183777071476052	0.205397023139945	0.332547798808577	0.182901139698058	0.293425173895117	0.176055303865949	0.144586606743795	0.249411098517531	0.277034177391126	0.0575561003826936	0.255805999083521	0.202646517545494	0.342049364017701	0.297170330950456	0.258648287962226	0.251851336705427	0.188743345269733	0.152012360536417
D00228	0.453474271102605	0.256537272424374	0.418367164875277	1	0.378416495114739	0.447220038396179	0.236284093580356	0.204644799266816	0.30231618073507	0.133018919994552	0.374116647776297	0.257457100555707	0.34801527749424	0.146712586947558	0.529998584349754	0.554247328992022	0.142520485203676	0.0321820128639141	0.204644799266816	0.199528878814025	0.332547798808577	0.225274090047399	0.142520485203676	0.386185152011363	0.36580327704051	0.176055303865949	0.124705549258766	0.0475068284012253	0.240810406196253	0.066509958819473	0.0356298718898204	0.0321820128639141	0.030231618073507	0.166274398226485	0.450549177739191	0.172007860559206	0.434870198441985	0.216878912471298	0.249411098517531	0.267661007418256	0.233491686921354	0.190027313604901	0.243868186264077	0.142520485203676	0.377486690539465	0.213781226627711	0.255211403024655	0.226737634373499	0.199528878814025	0.296596685423866	0.199528878814025	0.277123664496011	0.342049364017701	0.381452327005894	0.332547798808577	0.232783359401564	0.344015721118413	0.166274398226485	0.321821126283535	0.142520485203676	0.134816675192666	0.108834024593504	0.374116647776297	0.232783359401564	0.374116647776297	0.386185152011363	0.323560020462399	0.157523061601702	0.12790299954176	0.256537272424374	0	0.215706680308266	0.362779416882084	0.432312238215589	0.191854998134837	0.00906473953223255	0.346121748434295	0.285040970407352	0.120926472294028	0.260255493081073	0.221698532539051	0.153483599450112	0.321821126283535	0.293425173895117	0.202910893309923	0.332547798808577	0.176055303865949	0.196506016299992	0.39441771355123	0.355087717130893	0.0575561003826936	0.323560020462399	0.241365096479356	0.204644799266816	0.270195024179194	0.258648287962226	0.240173909072836	0.293425173895117	0.197324250277003
D00252	0.293425173895117	0.176055303865949	0.332547798808577	0.378416495114739	1	0.406447309654927	0.432312238215589	0.131269051727353	0.299293318221037	0.0344017716407201	0.274352208369284	0.166274398226485	0.255211403024655	0.249411098517531	0.285040970407352	0.356301711831386	0.199528878814025	0.0369497554231752	0.1617800102312	0.187058323888148	0.289639113419621	0.172007860559206	0.199528878814025	0.498822197035062	0.369497554231752	0.199528878814025	0.142520485203676	0.0255805999083521	0.279340430339635	0	0	0	0	0.191854998134837	0.36580327704051	0.199528878814025	0.237534142006126	0.155189571363972	0.272084562661563	0.296596685423866	0.199528878814025	0.149646659110519	0.237534142006126	0.0997644394070124	0.304836230474491	0.249411098517531	0.31504512555901	0.136042780152978	0.230225399175169	0.374116647776297	0.151158090367535	0.234739740058336	0.264082456976726	0.30231618073507	0.249411098517531	0.221698532539051	0.206409632199927	0.187058323888148	0.232783359401564	0.16091006431957	0.117369870029168	0.0178149359449102	0.260255493081073	0.221698532539051	0.427561455611027	0.443397065078102	0.183777071476052	0.176055303865949	0.0525080197486988	0.249411098517531	0	0.205397023139945	0.412818266755459	0.391931583721207	0.183240338792042	0.00938859288751936	0.23943465457683	0.205397023139945	0.137606088918486	0.316326100960997	0.176055303865949	0.138561832248006	0.193092077183484	0.289639113419621	0.240173909072836	0.249411098517531	0.240810406196253	0.119121733585155	0.272084562661563	0.297942523602251	0	0.215706680308266	0.140293742916111	0.228032576797002	0.294759024449989	0.199528878814025	0.234739740058336	0.211621326514549	0.101341231662792
D00293	0.352109610087504	0.199528878814025	0.678398187967685	0.447220038396179	0.406447309654927	1	0.322766893169113	0.183777071476052	0.321821126283535	0.0321820128639141	0.358128398716929	0.232783359401564	0.332547798808577	0.155881936573457	0.381452327005894	0.537193595719787	0.187058323888148	0.153483599450112	0.153483599450112	0.249411098517531	0.354003139147449	0.332547798808577	0.225274090047399	0.412818266755459	0.443397065078102	0.225274090047399	0.213781226627711	0.0498822197035062	0.213781226627711	0.153483599450112	0.0383713986847251	0.0344017716407201	0.0321820128639141	0.178150357093496	0.591197084415197	0.230225399175169	0.316326100960997	0.199528878814025	0.260255493081073	0.387972930765537	0.272084562661563	0.142520485203676	0.255211403024655	0.149646659110519	0.360260364787057	0.230225399175169	0.267661007418256	0.181389708441042	0.213781226627711	0.393011034955591	0.176055303865949	0.293425173895117	0.362779416882084	0.605712810348917	0.39905775762805	0.34533859758495	0.369497554231752	0.211621326514549	0.257457100555707	0.225274090047399	0.211621326514549	0.0534448078347306	0.347006659011835	0.249411098517531	0.498822197035062	0.517297573568847	0.204644799266816	0.199528878814025	0.134816675192666	0.311763873146914	0	0.228032576797002	0.386185152011363	0.780765481598826	0.199528878814025	0.00922351179407771	0.254301551337263	0.193985966560571	0.206409632199927	0.272084562661563	0.199528878814025	0.193985966560571	0.257457100555707	0.311763873146914	0.210030083706007	0.354003139147449	0.187058323888148	0.148902416392542	0.260255493081073	0.287107675800337	0.103921623597103	0.269633350385332	0.190027313604901	0.322766893169113	0.281943284563764	0.332547798808577	0.249411098517531	0.199528878814025	0.141086613209476
D00303	0.34129913543336	0.204644799266816	0.304836230474491	0.236284093580356	0.432312238215589	0.322766893169113	1	0.190027313604901	0.210030083706007	0.0570083936103491	0.31743248859402	0.134816675192666	0.244321116818985	0.354003139147449	0.237534142006126	0.285040970407352	0.342940260461605	0.0935291619440742	0.218994916231121	0.285040970407352	0.304836230474491	0.205397023139945	0.386185152011363	0.436469422405679	0.332547798808577	0.30231618073507	0.21823471120284	0.145996278272616	0.257457100555707	0.060463236147014	0.0321820128639141	0.060463236147014	0.0570083936103491	0.356301711831386	0.262538103454706	0.232783359401564	0.281943284563764	0.25471756904959	0.339624090495716	0.409289598533633	0.354718450177997	0.23201018499616	0.340105952738052	0.213781226627711	0.383708998625281	0.193092077183484	0.389324738919502	0.162880411997859	0.299293318221037	0.456066151238399	0.153483599450112	0.255805999083521	0.281386598991873	0.249411098517531	0.236284093580356	0.211621326514549	0.166274398226485	0.362779416882084	0.256537272424374	0.342940260461605	0.285040970407352	0.066509958819473	0.199528878814025	0.176055303865949	0.423242653029098	0.393011034955591	0.181389708441042	0.342049364017701	0.0443393074500526	0.269633350385332	0	0.332547798808577	0.453474271102605	0.313545666034723	0.181389708441042	0.0553410707644662	0.210030083706007	0.296596685423866	0.211621326514549	0.325318867529145	0.204644799266816	0.296596685423866	0.188743345269733	0.304836230474491	0.253638117815206	0.204644799266816	0.342940260461605	0.138561832248006	0.211039699832806	0.218307632975716	0.115113198409781	0.208808966967665	0.176055303865949	0.31504512555901	0.332547798808577	0.193092077183484	0.272084562661563	0.269633350385332	0.106146385187592
D00319	0.15871624429701	0.11876756982526	0.174587768962272	0.204644799266816	0.131269051727353	0.183777071476052	0.190027313604901	1	0.149646659110519	0.0277125659784799	0.136931681308095	0.166274398226485	0.150587437774127	0.272084562661563	0.299293318221037	0.153483599450112	0.1617800102312	0.0935291619440742	0.665096595261548	0.249411098517531	0.204644799266816	0.205397023139945	0.228032576797002	0.277123664496011	0.157523061601702	0.264082456976726	0.21823471120284	0.11876756982526	0.181389708441042	0.128728051455656	0.066509958819473	0.060463236147014	0.0880271531107774	0.356301711831386	0.199528878814025	0.275212177836973	0.156493492587022	0.203601263230619	0.535321017192118	0.27841262105315	0.56277419562814	0.654704133608519	0.179575990932622	0.756833987873872	0.173503329505918	0.193092077183484	0.212264807148724	0.162880411997859	0.299293318221037	0.185608746583564	0.183777071476052	0.194662369459751	0.218994916231121	0.16240752855507	0.304836230474491	0.211621326514549	0.234739740058336	0.249411098517531	0.256537272424374	0.30231618073507	0.322766893169113	0.142520485203676	0.16091006431957	0.142520485203676	0.236284093580356	0.210030083706007	0.155189571363972	0.204644799266816	0.0928038744695852	0.0928038744695852	0	0.17032982268838	0.262538103454706	0.149646659110519	0.160335421148586	0.0457158966920783	0.130839066993509	0.262538103454706	0.211621326514549	0.172669298792475	0.11876756982526	0.332547798808577	0.12790299954176	0.174587768962272	0.0880271531107774	0.269633350385332	0.30231618073507	0.122997582056117	0.124705549258766	0.218307632975716	0.136931681308095	0.130127746540537	0.0956641209473842	0.16240752855507	0.163250538068059	0.193092077183484	0.1471934515455	0.269633350385332	0.132787642099379
D00331	0.204644799266816	0.228032576797002	0.30231618073507	0.30231618073507	0.299293318221037	0.321821126283535	0.210030083706007	0.149646659110519	1	0.137606088918486	0.316326100960997	0.406447309654927	0.212264807148724	0.151158090367535	0.262538103454706	0.280587485832222	0.257457100555707	0	0.0950136568024505	0.321821126283535	0.193985966560571	0.155881936573457	0.21823471120284	0.272084562661563	0.211621326514549	0.257457100555707	0.128728051455656	0.1617800102312	0.39905775762805	0.0332544805875395	0.0369497554231752	0.0332544805875395	0.0643640257278282	0.133018919994552	0.293425173895117	0.178150357093496	0.195191120988608	0.169812045247858	0.25471756904959	0.213781226627711	0.212264807148724	0.113368318364553	0.221698532539051	0.11876756982526	0.218994916231121	0.268596797859894	0.204063172585074	0.23201018499616	0.249411098517531	0.269633350385332	0.36580327704051	0.183777071476052	0.210030083706007	0.313545666034723	0.228032576797002	0.16091006431957	0.187058323888148	0.241852944588056	0.176055303865949	0.181389708441042	0.205397023139945	0.0525080197486988	0.279340430339635	0.240810406196253	0.264082456976726	0.272084562661563	0.199528878814025	0.193985966560571	0	0.193985966560571	0.0965460385917422	0.221698532539051	0.256537272424374	0.311763873146914	0.172669298792475	0.0473635532106966	0.225881655483387	0.157523061601702	0.124705549258766	0.238566703953989	0.228032576797002	0.188743345269733	0.249411098517531	0.386185152011363	0.166274398226485	0.193985966560571	0.181389708441042	0.0983597561001617	0.25471756904959	0.166415186294202	0.0188235544273151	0.199528878814025	0.168832358452881	0.210030083706007	0.249411098517531	0.137606088918486	0.221698532539051	0.1617800102312	0.139344321796896
D00332	0.187058323888148	0.172007860559206	0.030231618073507	0.133018919994552	0.0344017716407201	0.0321820128639141	0.0570083936103491	0.0277125659784799	0.137606088918486	1	0.153483599450112	0.0738995108463504	0.142520485203676	0.0738995108463504	0.146712586947558	0.103204317277766	0.0712607414240349	0.0475068284012253	0	0.066509958819473	0.0965460385917422	0.119717327288415	0.0712607414240349	0.0311763873146914	0.0332544805875395	0.0712607414240349	0	0.133018919994552	0.0831367002910457	0.157523061601702	0	0	0.0433755829653809	0	0.0293427169183905	0.090694854220521	0.149646659110519	0.149646659110519	0.063679641673496	0.0243325467713703	0.0433755829653809	0.0255805999083521	0.0453479259324575	0.0269633350385332	0.171025180831047	0.090694854220521	0.0475068284012253	0.221698532539051	0.0831367002910457	0.0554251319569598	0.0321820128639141	0.124705549258766	0.0880271531107774	0.0570083936103491	0.0623527746293828	0.0383713986847251	0.207842249549811	0.066509958819473	0.147799021692701	0.0712607414240349	0.066509958819473	0.108439955057846	0	0.0383713986847251	0.0965460385917422	0.0997644394070124	0.114016787220698	0.030231618073507	0.133018919994552	0	0	0.295598043385402	0.060463236147014	0.0311763873146914	0.106132403574362	0.0200284373750105	0.166274398226485	0.206409632199927	0	0.0433755829653809	0.133018919994552	0.060463236147014	0.147799021692701	0.133018919994552	0.150587437774127	0.0965460385917422	0.0712607414240349	0.0613930407222873	0.190027313604901	0.0791521387153104	0.0464024360569896	0.0831367002910457	0.0633424378683003	0.0570083936103491	0.084905523801732	0.142520485203676	0.0752942177092604	0.172007860559206	0.109449351063383
