hsa10369	hsa1080	hsa1134	hsa1135	hsa1136	hsa1137	hsa1138	hsa1139	hsa1140	hsa1141	hsa1144	hsa1145	hsa116443	hsa116444	hsa170572	hsa200909	hsa22953	hsa2554	hsa2555	hsa2556	hsa2557	hsa2558	hsa2559	hsa2560	hsa2561	hsa2562	hsa2563	hsa2564	hsa2566	hsa2567	hsa2569	hsa2570	hsa27092	hsa27133	hsa2741	hsa2742	hsa2743	hsa285242	hsa2890	hsa2891	hsa2892	hsa2893	hsa2895	hsa2897	hsa2899	hsa2900	hsa2901	hsa2902	hsa2903	hsa2904	hsa2905	hsa2906	hsa3359	hsa3708	hsa3710	hsa3736	hsa3737	hsa3738	hsa3739	hsa3741	hsa3743	hsa3744	hsa3746	hsa3747	hsa3752	hsa3756	hsa3757	hsa3758	hsa3763	hsa3767	hsa3776	hsa3778	hsa3780	hsa3781	hsa3782	hsa3783	hsa3784	hsa5023	hsa5024	hsa5025	hsa5026	hsa5027	hsa51802	hsa5310	hsa54207	hsa55503	hsa55515	hsa55584	hsa55799	hsa55800	hsa55879	hsa56659	hsa56660	hsa57053	hsa59284	hsa6261	hsa6262	hsa6263	hsa6323	hsa6324	hsa6326	hsa6328	hsa6329	hsa6330	hsa6331	hsa6332	hsa6334	hsa6335	hsa6336	hsa6337	hsa6338	hsa6339	hsa6340	hsa6530	hsa6531	hsa6532	hsa6833	hsa773	hsa774	hsa775	hsa776	hsa777	hsa778	hsa779	hsa781	hsa782	hsa783	hsa784	hsa785	hsa786	hsa8001	hsa83795	hsa8645	hsa8911	hsa8912	hsa8913	hsa8973	hsa8989	hsa9127	hsa9132	hsa9177	hsa9254	hsa9311	hsa9312	hsa93589	hsa9424
hsa10369	1	0.0163306366350651	0.0235631310483056	0.0272439951559664	0.020743261088701	0.019071943982186	0.0224153995535219	0.0187388147532331	0.0198233131535705	0.0231295657295939	0.018836272407241	0.0205682471514507	0.0147267432575773	0.0163400880667741	0.0196909671324485	0.0231509082355184	0.0227413043555309	0.024090524303856	0.0248158528844537	0.0211906322432466	0.0290176293185034	0.026308146344409	0.0338284150984565	0.019749928695394	0.0307416982433309	0.0297356310139145	0.0311640996337852	0.0272712234182105	0.0222665525663217	0.0179829290285823	0.0287747586832514	0.0231992198946545	0.670862445641105	0.0173368519227212	0.0223539041675394	0.0254456383393072	0.0213637323633614	0.017455712755179	0.0142495020976448	0.0174425490086937	0.0162849881612793	0.016852739490445	0.0203778309420302	0.0176307086053479	0.0209875300001615	0.0157003602816519	0.0152462906990219	0.0157489089641753	0.0168571858380982	0.0149869692594865	0.0136099790383377	0.0152188580506415	0.022547357738482	0.0113996685413984	0.0120661270469759	0.0245593663758001	0.0291250903580067	0.0193487998646245	0.0208790785237535	0.0164019802866886	0.0202892182065371	0.0186210852524866	0.0315574310645171	0.028525878092073	0.0253969824117024	0.0144746306860152	0.0147171907684897	0.0202845731982979	0.021456223084965	0.0242655610333695	0.0301408327616255	0.0163510095680847	0.0170993735909044	0.021293735997017	0.020114472429121	0.0216936687246754	0.0164230798739074	0.0296862157947276	0.0243557360307801	0.0288723747709559	0.023441065281449	0.0205141143325983	0.0265093732923983	0.0080935039925116	0.0232794034528664	0.0165583666351586	0.0163369630651916	0.0203540501724078	0.0138726620269908	0.0325177005850468	0.0165482346507858	0.0202101518184031	0.0242336870421181	0.0235362259066155	0.221880888232432	0.0088204887435794	0.00743823680793737	0.00873541262493964	0.0122165697846507	0.0256067000191261	0.0109152895449268	0.0138871733718784	0.0132684244021482	0.0230920067436195	0.0159156701949098	0.0134621360259875	0.0152327567999231	0.0116369564309071	0.0124908038478206	0.0251647694400015	0.02214011210343	0.0210023960439073	0.0161996538881917	0.0212993223087478	0.0186413661438023	0.0240448683245484	0.0184212144778165	0.0144991084098452	0.0139263115641297	0.0148679460792986	0.0133980974010861	0.0140203357790266	0.0143320980684028	0.0140915943630873	0.0212989595017218	0.0194817596791046	0.0271757352178926	0.0198533834025425	0.0249139123439216	0.105414032624546	0.022335458827186	0.0316034540417048	0.0273044005045518	0.0112777732990323	0.0124262901372516	0.0106625732107577	0.018999336130193	0.0199144534226461	0.017886078977938	0.0237801956035996	0.0217936024737292	0.0142117371481824	0.017806594338625	0.0195566048200326	0.0154791665066342	0.0227967353757789
hsa1080	0.0163306366350651	1	0.0146004208954706	0.0133537806532411	0.0111219051575045	0.0126318654011892	0.0152587246051672	0.0109402648978728	0.0118724360983205	0.0157835606285606	0.0127645647883188	0.0112578194288024	0.009034882132057	0.00876105781857623	0.0134370691263061	0.0158944547325115	0.0091448963515889	0.0106741395157882	0.0107956028442383	0.0139993261555188	0.0095870234750442	0.0135975855741032	0.0133312583164957	0.0152368413142564	0.0150405210558543	0.0143607292043215	0.0150443714845261	0.0120069114097049	0.0108559761972414	0.0148156011070484	0.0122723917938772	0.0122947488936061	0.0136194894196253	0.00841894364414023	0.0123750111431519	0.0121472143388763	0.0130295881254531	0.0124887116109429	0.00802215672375118	0.0122747150085142	0.00853890797961794	0.00895068132248466	0.00984140917651958	0.0101915687377901	0.00984626537311046	0.00967663704433494	0.00772499413276168	0.0101027452470647	0.00837372829227244	0.00783796104726477	0.00913945601227146	0.00725890073574707	0.0174944772396076	0.00612447815229569	0.00557371448039982	0.012128406912391	0.0144677525352208	0.0111152544615583	0.0101452207382021	0.0094844883238352	0.0151056893091391	0.0125084376473497	0.0148051171696948	0.00910035095466227	0.0122653925470997	0.00924697778675413	0.0070348204305351	0.0163139560101386	0.0148803985603093	0.0120671971671623	0.0172337616662634	0.00806110275483623	0.0145162590388329	0.0158330829984924	0.0162244533416966	0.0123429852009465	0.0114716820253948	0.0119376339311716	0.0152352716312746	0.0119651275376862	0.0118598737070113	0.00998061367538165	0.0122394191362621	0.00596679939528604	0.0120916541322543	0.0137185413157884	0.0112412072694136	0.0113776145423183	0.0116607699214157	0.0128147258775214	0.0105866962100537	0.0132300832612896	0.0109401684272123	0.0108336426081403	0.0145248915088848	0.00482780417883092	0.00494893922459255	0.00467451455989005	0.00653578846800051	0.0147856509939149	0.00672744403728855	0.00682054208064067	0.00767732684850988	0.0159494330930742	0.00876105781857623	0.00794911989970556	0.00744838447113675	0.00788588533281428	0.00697142712935051	0.00995078021465385	0.0119450469889966	0.00950751204258018	0.00950005140757683	0.0108847334947921	0.0126721472865589	0.0126906869784618	0.164658227201594	0.00922494611819872	0.010306376124053	0.00813781801654929	0.00885711636137068	0.00808107305089125	0.0111395629972609	0.007644024767684	0.00837198736341985	0.0116989896829076	0.0109281014826843	0.0113390046022008	0.0108958926700136	0.0168797892016557	0.0123647998936672	0.0148267087741687	0.0110084346269168	0.00812538580720052	0.00592086390785582	0.00773087175476896	0.0122808325153722	0.0108109927628613	0.0163628881623839	0.0114945138089348	0.0142716043339992	0.00888988431847034	0.0098728318119683	0.00976688136943185	0.0088464676092783	0.0137507800062969
hsa1134	0.0235631310483056	0.0146004208954706	1	0.476659513107097	0.519788544918282	0.416944621269232	0.474348178677548	0.361608695507066	0.377813441727058	0.444088449109888	0.349589198996734	0.316609271240651	0.0152824965049139	0.0128386633791212	0.163843998046092	0.0900042427142049	0.0208060973883398	0.101850405563757	0.104882281102961	0.0926286036146624	0.0946641107838395	0.0973579817984234	0.104846996903105	0.089996899578099	0.0966169371513224	0.0911212239109063	0.0956143881955534	0.0700107771815233	0.0938772041406065	0.094309168170325	0.0821620351974254	0.0870255996629806	0.0262915843349017	0.0148978971734259	0.0998419919511123	0.107476637101675	0.0975477810432252	0.168826683347112	0.014721524276305	0.0139443126715139	0.0159054550297894	0.0137269976134896	0.0139320378565971	0.0143754684793756	0.0148230973060607	0.0132898586730973	0.0124041739651733	0.0138750741532048	0.0137888656854002	0.0148896475662223	0.0128496959178956	0.0170566371784802	0.262780266389961	0.0102271096846518	0.00955484845434567	0.0200312432987674	0.0213347321935405	0.0186857435769884	0.0179526626793186	0.0190001337007565	0.0201394565564297	0.0224858786493924	0.0168912467640127	0.0154721766471412	0.0173635614805978	0.0148291140031754	0.0161370693869875	0.0192457747198091	0.0220723145504247	0.0213537315566862	0.0191579453452725	0.0133443717224593	0.0202796164826391	0.0200126602593456	0.0205073435572778	0.0191594362842437	0.0202999267419402	0.0156477485482774	0.0225987030081043	0.0187761562430874	0.0186973830270428	0.0145075614955623	0.0167678633202772	0.00719908639180282	0.0169105400275993	0.0190112454885788	0.0141655763099037	0.375704891883241	0.0119968201858579	0.0237563697784517	0.0646318989442832	0.0195096150967963	0.018220590155646	0.374200680672886	0.0299865882844661	0.00787743158199968	0.00853293583928298	0.00827187355000236	0.0131669055676629	0.0234387819570782	0.0113716277608691	0.0135105404929948	0.0128512011292153	0.028223613821247	0.0109227736467309	0.0127176682855603	0.0140709956108255	0.0121655609197596	0.0151970361710035	0.0149225312378906	0.0140917189690159	0.0156006157744823	0.0171166457665494	0.021471592081747	0.02305590072327	0.0224570394644289	0.0118722834020026	0.012037016995394	0.0118871623773147	0.0133718242620857	0.0102803193713412	0.010808148624814	0.0126087169029198	0.0126126640074768	0.0143369078901999	0.0161735650033716	0.0157927194006349	0.0218566757577805	0.0178787714707696	0.0267257381617293	0.100501314375683	0.0213452552726816	0.0194801787545325	0.0108674153649053	0.0099938029413094	0.0107833006990342	0.494923625670063	0.0125176786234062	0.0159625100967674	0.0146570018846688	0.177159000771781	0.0124924703340442	0.0164627296047927	0.0154501022811219	0.0137852444162127	0.0274872175182079
hsa1135	0.0272439951559664	0.0133537806532411	0.476659513107097	1	0.592089035623225	0.596862010317619	0.500592117541898	0.389860396393294	0.384945538645747	0.505797182467059	0.354065881167454	0.333500392620998	0.0144076985711031	0.0146226720753902	0.183155335772999	0.079318107676199	0.0197343922793692	0.0877341545987085	0.0798249907130944	0.0784805747136167	0.0831677233499744	0.0802422361191534	0.0948673121536418	0.104307081741881	0.098704730170205	0.097286438745519	0.0901940069339692	0.0723158609751684	0.111056517951051	0.102575520497274	0.0777950664644973	0.08089985471803	0.020439701350793	0.0120092301269063	0.0906381601111482	0.0874529854309369	0.0996005964337092	0.1878785040699	0.0127432289160811	0.012263166807415	0.0135775602109829	0.0132792567128392	0.0143352750778085	0.015777642650347	0.0126060445076646	0.0130901284635325	0.0127342485012132	0.0112260937192917	0.0116703610107238	0.00988726764217474	0.0149946191399165	0.0136743157525238	0.238696888402511	0.01047076076773	0.0098666339543359	0.0166851039873444	0.015610472385577	0.0194889189017895	0.0164197951057439	0.0217222862647804	0.0174151517925829	0.0176738612308273	0.0195477231107333	0.0222374468437454	0.0207020095654175	0.0121598835723439	0.0130724556938751	0.0220031203167021	0.0177085045725928	0.0213729645502041	0.0178797613158519	0.010731963240169	0.019166333440145	0.0204393573986634	0.0174166083726859	0.0217291768607196	0.0188437547509867	0.015742851775263	0.0210317550604742	0.0153460633139723	0.0198929166615599	0.013845756466442	0.0153361584851278	0.00801102076962208	0.0167292368155575	0.0136428860561517	0.0170909790653654	0.350859985829258	0.0116308345377153	0.0291352181668822	0.0753909750459726	0.0224831992410491	0.0177063987696918	0.342249983461053	0.0335209327862168	0.00588563258415932	0.00718822711734646	0.00570010136617985	0.0167620869246113	0.030411320700263	0.0156010114923531	0.0197711335082023	0.0117539160164529	0.0233785112418085	0.0127293784457942	0.0130416980215863	0.0130324655606228	0.0112904480947684	0.0117736556744893	0.0155591622885525	0.0182120301704165	0.0187449907339039	0.0136982654734328	0.0233926388875762	0.0251314385401902	0.0188279399274266	0.0115947571148751	0.0104060034850173	0.0102764541391473	0.0103485345940884	0.0100191064548305	0.00912489896664046	0.00860849590862333	0.0117029308403722	0.0126756751577722	0.0180469764535086	0.0153286195495125	0.0180241929024728	0.0169934762689734	0.0273195317550528	0.089545804012435	0.0248101170554589	0.0178168859676268	0.010857007087841	0.00973020276372586	0.00971537819981206	0.55557272230361	0.0116648873814003	0.0241062657958683	0.0164149353543408	0.19512847841545	0.0158691875555698	0.0230465483617534	0.0129333779683409	0.0121808102351353	0.0234917117100695
hsa1136	0.020743261088701	0.0111219051575045	0.519788544918282	0.592089035623225	1	0.499589028519991	0.481202065846767	0.401597347875716	0.391757799541106	0.496657259710663	0.383170803258189	0.352621002373593	0.0136563490358097	0.011994195152925	0.18997220245184	0.0785594159299514	0.01834385868841	0.0797007361337549	0.090237787567397	0.0823884397411598	0.084322891120511	0.0796614262738377	0.0909205322402144	0.1051228309796	0.104148368551123	0.105085605556342	0.086044662859622	0.0679902326142914	0.116654341848826	0.112683761523413	0.0913303306226406	0.094411700230321	0.0179414602565112	0.0122621595172664	0.092948102917656	0.0963390906976408	0.1148384818775	0.194217067113244	0.0105132711978288	0.0120009451632191	0.0121160179966558	0.0150815955377714	0.0149241976824956	0.0129415556900757	0.012133441722871	0.0136278978825767	0.0125342668586366	0.01676871290868	0.011169980600946	0.0118471862970678	0.0118134489394636	0.0126320188961804	0.246789233734663	0.00988350186144932	0.0102719755844297	0.0190735587137168	0.0189604131736194	0.017168092447729	0.0162101633550275	0.0162825713948037	0.0198739291939078	0.021076294709864	0.0173966377719858	0.0156344462375108	0.0153524591477885	0.0150939436583162	0.0144875312778241	0.0198527799474877	0.0191734466431237	0.0203328194125855	0.0182420127361599	0.0122682322585507	0.0222065658825899	0.0215966460037034	0.0172952514837677	0.0186083010419008	0.0161559135128454	0.0175070732909729	0.0192531883640326	0.0155961180564511	0.0167134613433447	0.0192194248520797	0.0159661994401797	0.00685490136239422	0.0154448281112112	0.014760358557312	0.0137753122541262	0.371778447318971	0.0123371183127459	0.0231346928856561	0.0781908877130444	0.0170907197722154	0.0180723667392164	0.368596879853439	0.0244739513199653	0.0063387170527993	0.00694899611895297	0.00668954440455253	0.0103348852935994	0.0217991569598301	0.0103203950249727	0.0114923829038769	0.0136352814869292	0.0243389486006664	0.0105683118130668	0.0135774778183971	0.0101758995517014	0.0110728752335297	0.013449027678674	0.0153458191883651	0.0154598699419579	0.0139809482032517	0.0145520596045873	0.0186410705139552	0.0192469993638952	0.0249472751192281	0.0116878842805096	0.0108335035255479	0.0125592636825951	0.00995748629321538	0.0134796893138615	0.010924733886343	0.0101458309113195	0.0106172341554819	0.0141065157738609	0.0187883833900368	0.0257788743523872	0.0177411367250776	0.0183592109194316	0.0229530915790078	0.0942838996005462	0.0228653419228248	0.0219213567340521	0.0116214306447495	0.00936251985912613	0.00996125584231753	0.731256418871205	0.0125938866287073	0.0243896543079721	0.016234829949316	0.188070411923272	0.01519943632655	0.0223937914687772	0.0172049043528736	0.015128476549261	0.0240277329179016
hsa1137	0.019071943982186	0.0126318654011892	0.416944621269232	0.596862010317619	0.499589028519991	1	0.431525896128485	0.325099754584961	0.313375648479795	0.423756481843532	0.295222230053905	0.283069068140895	0.0156234052214117	0.0152817419991209	0.16562865469495	0.0705801280212374	0.0265753123027691	0.0869164399333852	0.0863301137508464	0.0851612792884386	0.081052637921737	0.0818915742442594	0.087245973053809	0.0888784045664169	0.0861750152886278	0.0870278671847483	0.09272525958077	0.0706079400276684	0.0929882082435155	0.0888218481467119	0.0681963305141629	0.0759006293042768	0.0162175722343993	0.0125311990853194	0.0711808977930431	0.076063018292911	0.095477785308961	0.173394411375882	0.0108349893762493	0.0106013038922747	0.0111489125613207	0.0135447098727201	0.0136021522880012	0.0145101168598036	0.0118120566467155	0.0111786155394737	0.0161827758264856	0.012568621666157	0.0109059109026272	0.010808607963124	0.0201259444511315	0.0240887884850567	0.225576481603464	0.00873081289248898	0.0090739798627123	0.0150437996371749	0.0179454706551549	0.0195776939532253	0.013798897993207	0.0202435491413055	0.0194040893012405	0.0153674174737908	0.0200070185415156	0.0223101391242247	0.0216469409197284	0.0124733428932612	0.0201663649822975	0.0215844900129331	0.0201944657262373	0.0179614517563333	0.0174299594546503	0.0139338230641155	0.0270084555258149	0.0207612237701349	0.0229172220661434	0.0174050044954062	0.0198784230046204	0.020400988644232	0.0156737954343897	0.0157933531961065	0.0192576661090962	0.0140598314838269	0.0161609480688072	0.00958776537051172	0.0162561269081347	0.0135309272811815	0.0159714592165802	0.302109028955036	0.00988917090660042	0.021344840576737	0.070384822867678	0.0190359409043793	0.018518971058465	0.300179856426739	0.0252228823509687	0.00933241296830265	0.00651630848620887	0.00590935898539712	0.00927921736046625	0.0201737631274099	0.00971457208113958	0.0119703323541335	0.0109640671481844	0.0215003557657208	0.017337830922639	0.0106973240137326	0.00913892742823844	0.0118882512149784	0.0127828164974408	0.0268611082699287	0.0162335816072142	0.0203266735948213	0.0154258656159389	0.0188573794978565	0.0212528353492137	0.0170530089403268	0.0120173372570216	0.011650456884672	0.0172581221091978	0.0125453553569261	0.0116240717366762	0.01007020021488	0.00985880185222414	0.0129153053742611	0.0110543851392493	0.0277525940513117	0.0184347566517636	0.0220011201135612	0.0156282742600764	0.0202761279038292	0.0767370704145395	0.0220688541558869	0.0169813714279661	0.0151881305959664	0.0158632661698024	0.0170574896214156	0.475560213983403	0.00913846844965401	0.0165491714899157	0.0216379031333339	0.181037744291373	0.0151780796310689	0.0259992757233904	0.0162996667129901	0.00962999798825292	0.0208464107666372
hsa1138	0.0224153995535219	0.0152587246051672	0.474348178677548	0.500592117541898	0.481202065846767	0.431525896128485	1	0.327409946811009	0.34892788009896	0.429705484436767	0.329799837894287	0.301041636074239	0.0146433579079199	0.0122133076791111	0.177769187919236	0.0648797202427449	0.0175216047065602	0.0900708695324242	0.0959098112940192	0.0866032951835206	0.079496623295687	0.0929541341992774	0.0884738741131334	0.0936533080491437	0.100561275817042	0.097977792296356	0.0859983728897783	0.062669958733446	0.0820568884247408	0.0817145111332758	0.0858767800859817	0.0835650589035406	0.0255585786401274	0.0134798760880402	0.0920987759009748	0.0882982900315847	0.0922273285061733	0.191256237779352	0.0135141045831611	0.0167014238448595	0.0128413329697828	0.0143533767178883	0.0137731673789911	0.0139531497897993	0.0149111547315859	0.0149069299288596	0.0157663621258189	0.0160909240010705	0.0111901422530351	0.0108886615111002	0.0120461072575648	0.0122822966807841	0.264410003329227	0.00980868182578545	0.0123406010365026	0.0265216367024809	0.0270673569311207	0.0145836832230901	0.0140759556030604	0.01627900774175	0.0191858085700464	0.0184087770339859	0.0184025737040987	0.0177930078443909	0.0162459768917296	0.0144072550830254	0.0145856497269198	0.0273503211783447	0.0229690720862517	0.0223051483284716	0.0204855627587099	0.0134196543153589	0.01837766607796	0.0164870424489701	0.0139018239363798	0.0242444243045508	0.0167736228720791	0.0189499089110807	0.0176376350539648	0.0181671099119933	0.0230109081723404	0.0146539135745908	0.0162313082388802	0.00723560998411671	0.0170588826042697	0.0156138553788404	0.0178775013644484	0.344052799632591	0.0149436220179461	0.0234854700111861	0.0571041246293808	0.0200586278097611	0.0176375492489229	0.353168115017164	0.0244685948766098	0.00734886506611515	0.00743667615985104	0.00660925057982915	0.0110818362868901	0.0231715037223826	0.0108906432025571	0.0140688218650901	0.0121601704561492	0.0247430816850194	0.0109723833694688	0.0139061079732781	0.0110932158924421	0.0114962383977321	0.0129027419308141	0.0132771293270877	0.0172623602970479	0.013910686904432	0.0132954331842799	0.0215389042326837	0.0184217304946244	0.016034023981792	0.01173690081449	0.0101066420056886	0.0101418005155235	0.00881289469254735	0.00982987426703244	0.00986298519662074	0.0103581867370191	0.0115652996420479	0.0146458679319894	0.0169484818668508	0.0162498813600436	0.0191278965291744	0.0225268274864552	0.0243487443866746	0.0916561559051416	0.0211018500411786	0.0192580414524064	0.00909064668468891	0.0101985456842835	0.0111376645308363	0.488933373508727	0.0126084258010538	0.0231202464048566	0.0174469796592068	0.23103417860953	0.0128074235866075	0.0162750010225183	0.0129440007957386	0.0127041124123838	0.0285101890836071
hsa1139	0.0187388147532331	0.0109402648978728	0.361608695507066	0.389860396393294	0.401597347875716	0.325099754584961	0.327409946811009	1	0.306319970637475	0.369516030985677	0.284800372833271	0.255898250417613	0.0167365914889607	0.0117983088644882	0.185477669986075	0.0816671072804019	0.0187660420833148	0.0763176914419611	0.0831505093910565	0.0749898956488548	0.0651489608052852	0.0641445876358278	0.0757572481205495	0.0941915951981933	0.101081476734551	0.0955486637790204	0.0916634190653973	0.0659011033549635	0.0970954527306957	0.082876785680997	0.0698369118270043	0.0778369113486846	0.0233944499189856	0.0120618968997725	0.0896918822544628	0.0895587972021288	0.090038130075704	0.191723829464663	0.0135425334530668	0.0135631324745427	0.0144010884035296	0.0123627388120689	0.0116511581768522	0.013219820313514	0.016076093170433	0.0165172820471264	0.0137522018172951	0.0162449283783126	0.00963820630247646	0.0127999665860605	0.0155631891353317	0.0151869860082669	0.24781620535756	0.00829236824192087	0.00866075671594672	0.0187620539752933	0.0183177070810799	0.0199581995630381	0.0168151732354195	0.019872508181234	0.0171485552620809	0.0174412751419577	0.0206641752150699	0.0189281332314801	0.0191675759494978	0.0114947868607861	0.0136031551358726	0.0184019020899852	0.0163214225993467	0.0200007487336107	0.0190427062748171	0.0118523727756872	0.0148791739221366	0.015308129499139	0.0156407904644974	0.0204578529883141	0.0156082722800217	0.0227172643573567	0.0200527940728519	0.0179606704812669	0.0210867297271517	0.0171331436885569	0.0163598368128554	0.00786677357040546	0.0148693403913168	0.0172587857620337	0.016373324108024	0.375472299058175	0.0128098332356133	0.0207340304492078	0.0617065834252279	0.0197353545012495	0.0188438460190098	0.377425438210384	0.0227367904183803	0.0075861535055368	0.0069406684414846	0.00711096112740369	0.00999944109998384	0.0219536893259588	0.00998542114876635	0.00995487811040507	0.0110052048198594	0.0234426705658739	0.0103957127057728	0.011911870634023	0.0110106801489945	0.00988661703700468	0.0095452498838779	0.0148156543405154	0.0154943148492425	0.0163312300102667	0.0174635666504677	0.0207026457219314	0.0186368391905126	0.0163598948453125	0.0128163285232203	0.00942102863275326	0.0106764249164364	0.00834971931302357	0.00868184316921344	0.00856590228850734	0.00981379613206223	0.0109574673420044	0.0136523230031431	0.0157547520561661	0.0138864471559947	0.0154377705358524	0.0154325548835437	0.0269957064946077	0.0871863802558432	0.0208258432407141	0.0189093926087075	0.00970905753242563	0.0116252497695502	0.0108538017518962	0.376892809796866	0.0117245524141866	0.0239913283846623	0.0126076473482408	0.206181970718088	0.0158179392111915	0.018881195565993	0.0129995312362884	0.0175075316901815	0.0274338510260084
hsa1140	0.0198233131535705	0.0118724360983205	0.377813441727058	0.384945538645747	0.391757799541106	0.313375648479795	0.34892788009896	0.306319970637475	1	0.420305664116085	0.418023342595061	0.410719624641032	0.0171748490365844	0.0197634904616527	0.184690471116657	0.0756017641084929	0.0193728712178946	0.101191448194568	0.0920375632180314	0.0919624282021796	0.0862655121907375	0.0909571476707003	0.100887546167197	0.0933287853710097	0.098922408041876	0.095055261232377	0.0992449753117988	0.0789747022087545	0.0839018358886206	0.0842878995284893	0.0913373111886307	0.0984626322737792	0.0270209191826251	0.0129356416292062	0.107746615775773	0.120595595373466	0.110713824580979	0.185596672893993	0.0139660642027757	0.0142463316522794	0.0150892395346547	0.0142747438844792	0.0141611695953869	0.0131418480535612	0.0140624248396373	0.0130927849164891	0.0153699691975483	0.0162006782872095	0.0109335959431173	0.0129645550317198	0.0161836633875832	0.0121859525375313	0.227439227882776	0.00868861624939686	0.0099417372547552	0.0179852717090451	0.0182159136903533	0.0177268528431435	0.0190869039751946	0.0186259464860555	0.0198007284693315	0.0213319775166692	0.0219109740227346	0.0182728557091313	0.0161783686146857	0.015280902846915	0.014652869569478	0.0186385230562826	0.0194701880114942	0.0191112532819646	0.0270767767857917	0.0117865079156558	0.0214834756835438	0.0189856765376005	0.0169536204790081	0.0185397619469835	0.0215576881922325	0.017813709239814	0.0169255358695203	0.0178126258294039	0.0191858864231726	0.0152590683826156	0.0172330078656024	0.00694348057147818	0.0219360008430259	0.0299669279319464	0.0182994323778256	0.279000587509152	0.0104706883048355	0.0220250605213307	0.092713326350558	0.0162874324744779	0.0284491665696147	0.296239656832369	0.0225775995801509	0.00757844393920096	0.00713642893213572	0.007632391341282	0.013335224980067	0.0253386759883038	0.0138222189519921	0.0153806689360072	0.0116692175909813	0.0227337206967549	0.0110307853739457	0.0129790576360409	0.010983287392286	0.01188071341058	0.012381808598317	0.0206688639790349	0.0151123060476045	0.0150902405583696	0.0150783991032744	0.0170746356626309	0.0332585619326322	0.0150907712700251	0.0122175316319482	0.0112628879821287	0.0122040416476336	0.0100834465794648	0.0119911073191187	0.0111999879370433	0.0116247304276009	0.0124856595003299	0.0124677529726945	0.0171848219072689	0.021403270180258	0.0227745776595886	0.0206196097413104	0.0238628342796272	0.109064998885254	0.0210936324685601	0.0157924445580142	0.0107855693934937	0.0114688958884214	0.0106879941637628	0.379743936180236	0.0179250002119086	0.0179607372770246	0.0173101229823733	0.161631146552002	0.0177770969359489	0.0239049744128396	0.0144088259535899	0.0144077800664124	0.0290690682544191
hsa1141	0.0231295657295939	0.0157835606285606	0.444088449109888	0.505797182467059	0.496657259710663	0.423756481843532	0.429705484436767	0.369516030985677	0.420305664116085	1	0.42863267737454	0.359715363412698	0.0128990166182413	0.0121441597728043	0.182392495527799	0.0749369681734876	0.0182227757896708	0.101946123890372	0.109129576466198	0.091693137936793	0.0818406362679577	0.102245999731917	0.0966959471074438	0.0930554940511513	0.0993224765386786	0.093059941249666	0.0854767050827417	0.0777550320096363	0.0980559781199923	0.098507170247351	0.0900427478433077	0.0948006201453357	0.0323301537581539	0.0152862372217529	0.0951432337278965	0.0918470099845145	0.0852248170832556	0.192592401159058	0.0131791767436891	0.0157265376288977	0.0130390470237244	0.0122353375376419	0.0138843735867659	0.0145867650933692	0.0157431537938015	0.0152301867504618	0.0148460568120265	0.0224630971842661	0.0134323032977393	0.011383117793213	0.0155075873744904	0.0163331482924993	0.257758756636286	0.0095294910562031	0.0113703642272102	0.0206394145516415	0.0201806363183956	0.021395984767786	0.0137608859484691	0.0140783229920284	0.0200891106868727	0.0159521338915735	0.0192382382314382	0.0179206701285954	0.0158377032792594	0.0142687813245754	0.0202794996305308	0.020859529586505	0.0194131741613901	0.0190552904874975	0.018861259323656	0.010663846324976	0.0175840470412315	0.0224005964002379	0.0157955183732439	0.0199353136205921	0.017195649272444	0.0196117070381545	0.0157509085371004	0.0154931722577819	0.0274312752135978	0.0128278154804609	0.0168521115104917	0.0068096539942353	0.0153428809369553	0.0190894741027624	0.0176756640964753	0.322733785492801	0.0142982983484001	0.026556962724772	0.0779701119357652	0.0188233333456852	0.0172349528506835	0.344891493317305	0.0234119458650485	0.0066117207229862	0.0075403394401818	0.00707412325618927	0.01110819760504	0.0262956808259245	0.010924553048822	0.0122685042218234	0.0114613896229848	0.0231708648139403	0.0103319095151131	0.0133055881919532	0.0116250408384322	0.0109997861494157	0.0140367228181497	0.0149622195168741	0.0153578234806054	0.0147567051900081	0.0144560053561613	0.0200114149769315	0.0173274592870968	0.0200621086775844	0.0114203957570903	0.0101381107325849	0.0117062174608028	0.0105403995660947	0.0102024483767963	0.0111671914158677	0.0109187660817246	0.0121032899102832	0.0122052214808233	0.01774644664855	0.0170724766042256	0.018301879626172	0.015585222803312	0.0252800174518161	0.085593332831943	0.0197699528598674	0.0147411235087012	0.0105958395403971	0.010672957804861	0.00913431162472115	0.494343459744411	0.0127341641441933	0.0175570034285543	0.0265965054270509	0.191464080345547	0.0120355216011042	0.0155721832338254	0.0141189325368331	0.0112714631452102	0.0238691322875082
