D00136	D00219	D00225	D00228	D00252	D00293	D00303	D00319	D00331	D00332	D00336	D00340	D00351	D00358	D00364	D00367	D00380	D00392	D00437	D00451	D00456	D00474	D00477	D00480	D00512	D00513	D00528	D00537	D00538	D00539	D00542	D00545	D00547	D00549	D00550	D00552	D00560	D00593	D00615	D00616	D00617	D00618	D00619	D00629	D00631	D00633	D00636	D00638	D00639	D00640	D00658	D00677	D00678	D00694	D00697	D00708	D00711	D00726	D00738	D00740	D00741	D00765	D00771	D00775	D00809	D00816	D00831	D00960	D00963	D00964	D01108	D01111	D01118	D01253	D01275	D01350	D01448	D01450	D01453	D01575	D01599	D01768	D01799	D01828	D01854	D02041	D02086	D02101	D02163	D02234	D02253	D02261	D02272	D02409	D03274	D03365	D04034	D04048	D05461
D00136	1	7.91782286544001e-05	0.000314396709368324	0.0287557026803614	0.0307860793563078	0.0312888509499514	0.00167952049054873	4.65439218046825e-09	0.00423429774914017	0.00031594078312672	6.48062300060942e-07	0.000102624249150717	0.000504517157603742	2.09548284790857e-10	6.67755167483186e-05	0.00767280743403933	6.15550444497545e-06	1.68811053126925e-06	0.000477694218784834	6.49719318017252e-05	0.000249209879371706	0.0236100685006927	9.15238049598706e-05	0.000150625942154329	0.000430352041288758	0.00222438642209726	1.55213747637196e-07	0.00089129509710298	0.000150554091284706	5.87372610472094e-10	0.0339578606836298	9.42054346215283e-07	8.45788192468854e-07	0.017929838642986	0.000125590809240437	1.21125692661427e-13	0.0866428808413053	2.35900208468703e-11	0.000233948149766501	0.00393164091332852	0.0166242720021614	0.000162289992801120	0.000391397681648653	1.51310459056701e-05	8.48714475184534e-11	0.000125341155420194	0.00177531977781940	0.0483087322409564	0.00032724251264051	0.00111932051554600	0.00207804701031124	0.00528544567022326	0.000226861701559400	0.000781732927727464	0.0170991718617918	0.00112831661555173	4.50788212579324e-06	0.0582615633456734	9.61648791179875e-07	1.60584456658979e-09	1.99230908369412e-23	1.33013312787130e-13	6.66660400181479e-23	0.000146898153029045	0.000109194819240397	0.0267253664936773	0.000482798295367467	0.0158708386416034	0.0140455618050865	0.0165771598608251	0.0167633197899565	1.70000709817514e-07	0.000184012800891668	0.0263763079237723	0.00318710436044913	7.20949540398936e-48	0.027223527191405	7.90277473894524e-11	1.37525582706584e-05	1.48881367212579e-12	0.0137882146989082	0.0175838218419767	7.10558853706086e-12	1.00859526728508e-06	1.88276574029016e-13	4.65846846943435e-08	0.00348155303558034	0.0495943209404341	0.0217760328270243	0.000134385063430915	0.0048267411217058	0.00472654565958156	0.000221648326511262	1.18686255688952e-05	0.063515022631424	0.00021915225498869	0.333955982804283	0.00509499420321929	0.0241406643288613
D00219	7.91782286544001e-05	1	6.24772833432585e-22	0.000249663238636146	0.00349756050743086	6.86339807530974e-16	0.0122455075703017	7.32874189024396e-07	0.00655474410923037	0.000132625489258759	0.398610783197933	0.0274107348887994	6.96295287811101e-51	1.34380120175131e-05	8.96621944386709e-05	0.0186672234784534	0.573085877252513	1.0023082064001e-30	0.0065055587900727	0.000869666814160087	5.8279842021999e-65	0.00151317280215381	0.000266966440469157	1.24226931459395e-05	0.00395855918843356	0.0340156901936364	1.85673508237464e-15	0.000708419357681334	4.12732741428041e-19	1.18091346392595e-25	1.04480027874049e-27	3.51035021064835e-08	0.000380278727527694	5.33570876440795e-16	8.01888676883843e-16	5.32527480054168e-09	7.64177380121621e-07	0.372590318468527	8.01301781655631e-05	0.007818590657812	4.53815461343165e-07	0.0130048167916161	0.00226867695764632	7.48518210663128e-06	3.91592149729093e-73	9.21134960862635e-28	0.000292879171308617	7.33516010380583e-16	1.15443052222574e-05	9.22762872681266e-06	0.0275858775832898	4.35857684158815e-24	9.04568449187525e-45	9.28049732961499e-22	9.14785411017729e-16	0.000136010982286856	2.10787231318802e-06	9.32970786412538e-06	8.10793431552315e-06	1.16157085854602e-27	1.0955107296816e-27	2.53491005311324e-06	2.156170344156e-42	0.000491672343527855	0.0081463774081099	0.010961734534561	0.00232400482793079	2.11819443978792e-13	4.19959788849205e-19	2.32672054427131e-15	0.00486686825588356	0.280302614582359	1.74786417609154e-05	1.29347466017602e-05	0.00496784413702171	3.39892108068287e-22	7.45258293239394e-15	5.25920406728897e-26	1.14902785220342e-25	8.95763582884577e-89	0.366062378246882	5.21552752144873e-79	0.465443494500476	9.12532996595314e-13	0.305585268499808	4.87633989672285e-26	0.000405578644622806	3.19097272176825e-06	5.96130286429255e-15	4.93106839085644e-12	0.00193023494072211	7.09783310497067e-26	0.00289898011831017	9.91625054600215e-26	1.47977916040522e-05	0.000276225239161206	1.30430151450584e-05	6.89648608596312e-06	1.90694910258912e-30
D00225	0.000314396709368324	6.24772833432585e-22	1	0.00694904296158813	0.056907972090742	0.157848376029332	3.73327818019977e-10	1.16817446505816e-05	0.00715529806545604	0.0798607080724492	7.8973679453759e-05	6.60400637932433e-05	1.89977910053510e-15	1.99786935651672e-07	2.86176055594607e-10	1.92245746598829e-06	9.41213754113005e-05	0.0142821275316786	1.60486838832867e-06	0.0199884659884272	3.16341329675065e-10	0.0119733190098633	2.66696157439967e-10	2.39457327611081e-08	0.0251668017803221	0.00170011131011137	0.0306038026379002	0.0099023625726966	0.00862252816180296	6.2079641329523e-10	2.52189770944196e-10	3.85685608520757e-09	1.84245744964885e-10	0.0215478467041818	0.0359050959983987	1.26765025648373e-08	0.00172409445525548	9.5392631645149e-05	7.78582315789589e-06	0.00853178472746519	0.0141864126081796	2.59886735247803e-06	0.000389374050955709	2.38178589723687e-06	1.03333456096170e-05	0.00205878639019124	0.0232147385568409	7.11374629952242e-06	0.00908834162948102	8.90930637854141e-06	6.30182410751714e-05	4.69878675745053e-11	2.78695803827711e-10	0.0886180971154	0.0540748409608373	0.0158989329347092	9.99959461560156e-05	0.000402189306921416	4.81965986771766e-05	1.69611253218313e-10	3.21359948212773e-10	5.01652934977936e-08	8.58994480224612e-23	2.33349539273398e-07	0.00148856920908517	0.0137724762735309	0.000215597976306824	0.00264636944018631	1.48835119872515e-09	7.4748611083288e-05	8.95291560918481e-15	1.43179734753643e-07	2.33547032188098e-05	0.0559444512058731	6.27335937906577e-06	2.63893052150145e-24	0.000112925105136366	0.0187264747110184	0.0214308248939417	1.22520956069531e-34	1.803599531255e-07	2.11123263919737e-27	8.15317045344236e-22	2.71729497496135e-06	1.59902528569843e-07	4.44165684597312e-10	3.21343269594333e-05	1.83111799710361e-07	9.03285154699375e-05	1.38293356827215e-23	0.015479011466751	7.78914562290087e-06	8.71220112157283e-06	0.0197575664481447	5.39899820444404e-11	0.00348237358954878	1.38884193143022e-07	0.00113572183508841	2.39868463227149e-33
D00228	0.0287557026803614	0.000249663238636146	0.00694904296158813	1	0.0511085756309374	0.0117709674702850	0.0217290501610679	0.0610616274018511	7.03198482487402e-05	0.0359147681392163	0.000176223788461551	2.42991320718857e-06	1.45312729122193e-07	2.38317384305166e-08	9.55675904638571e-08	0.000252768685540193	0.000210815808268952	1.30211727983552e-07	0.000639235350973926	0.00204193192641814	2.93883309324351e-13	0.000719484950148794	0.00957469981920871	0.0350778856906470	0.00054679172589779	0.000865349544139568	4.06620128315845e-14	0.00451176713008702	0.000518218014617301	1.06690611166648e-13	6.43432889536656e-12	7.85523338810737e-11	7.07665962255435e-11	3.89164536198532e-12	5.11580488159208e-05	3.87189699964491e-11	0.00108852302259234	0.000213662116198537	5.91669019206549e-10	0.00353033471808954	1.32421501209853e-06	5.50160877150988e-10	0.024585904782001	5.04254837636111e-10	0.0127910604968369	7.98128589848326e-11	0.0090297696753057	0.0119006719444319	0.0101097174851271	0.0147964526099573	2.31882555914102e-06	4.89564191357894e-05	2.58910352464516e-13	2.27146978778505e-06	0.00695160609335436	0.000955234472157856	3.61423975085046e-13	4.01408665150117e-05	1.43698882383032e-08	1.01000085283201e-10	5.64905080553318e-11	2.63886541669912e-28	8.48129992917416e-23	0.00171207874317622	0.235660644457294	0.230413134779886	0.00220022122535070	4.56896557849044e-40	0.00129038644431682	2.25161776037839e-17	2.33512657222945e-09	0.000227301026024032	2.35202639582403e-05	0.000517228987034881	1.66117326980058e-07	0.000125140643661576	0.000129149194340794	1.15392516509261e-08	2.84742548885622e-14	1.56695310671138e-40	0.000190527225482753	7.92394274660509e-11	0.000325275576698120	4.54583094165976e-14	0.000253582576213064	7.86625122672629e-11	0.00437264428857449	0.000772514442576175	0.000103306124752816	0.00394870421700036	0.0033765926517611	1.54384109661564e-08	0.00887949159093975	1.80019233456113e-07	9.08261112868502e-05	0.00103276679120359	9.50696597537014e-05	1.22834050119334e-08	1.72116881124549e-28
D00252	0.0307860793563078	0.00349756050743086	0.056907972090742	0.0511085756309374	1	0.0475177958582739	0.0147622796289809	0.00674993518306893	0.00662729796605516	0.108036034984787	0.00284964727692653	1.69968471428074e-05	1.7214401230311e-06	0.0215747281344847	4.70989598962141e-08	0.00483581047854011	0.00341298091938795	0.124847834329739	0.0047514219119907	0.00875506010833656	0.0212915176662468	0.138777129727045	0.0165093110369656	1.00001143914179e-07	0.222931625730121	0.00617295512446466	4.28872560338945e-06	0.072162062366397	0.164280582456419	0.113400546583047	0.00104452693552924	0.00895271664794632	0.0081647383360776	0.0177645978757884	0.0187235939419919	0.00501969975968615	0.0221470602911193	0.00122718991137335	0.00514856959810157	0.0147758601397256	0.00129296729814958	0.00701140381655558	0.0127715789842780	0.00454144157212912	0.00603040565897268	4.39367586919928e-06	0.00660161783839784	0.00628401702105485	0.044616709623689	0.00727000077727348	4.51904903955464e-06	0.0215655881700766	0.0187576913859267	0.0608913919928989	0.0169371113144599	0.112424301665681	0.0279038542581798	0.0143389123167098	0.0182383497375965	2.20989408242733e-05	0.00168495711684217	0.00120535989436493	1.51654418340666e-11	0.00510052361330264	0.0463579974850723	0.0302778240037856	0.0190647272627177	0.0151269718547746	1.70775438251509e-08	6.04002809391156e-05	0.000503085654969534	0.00130440082234341	2.42683012708104e-07	0.136473980384998	0.0158410823783528	6.33725699714367e-11	0.00194246242295847	0.0160218764269905	0.00714765623622632	5.14298090694973e-18	0.0110162301051295	0.0117000902967733	0.00187394328755169	0.000911825844051714	0.00154661975738012	2.79012585790139e-08	0.0129927004365268	0.00670732435089235	0.000210836217367644	0.00340484490663852	0.0326327179245551	0.000797746696931105	0.0106965667810869	0.00616855446974328	0.00938215267485462	0.000204007485457383	0.00974361939840746	0.00971598761861943	0.000312000110364827
D00293	0.0312888509499514	6.86339807530974e-16	0.157848376029332	0.0117709674702850	0.0475177958582739	1	0.000147346170336005	8.63779562880473e-06	0.00569617197429482	0.064244272908562	0.00433135602753365	0.000147206089698689	1.98800784661428e-05	1.95697096292709e-07	2.02455637254895e-08	0.00219611894176430	0.000210592853321938	0.0169081068880484	0.0124334974993591	0.00527408465950331	0.00979697046831854	0.0181984612953542	0.0094650023113300	0.00819739984347678	0.0305811611619293	0.0148292033306407	0.0530399962594624	0.0298670858976373	0.0439190502344923	0.0282820607471325	0.0101793934907828	0.0082607162112932	0.0196728658318292	0.013552592105412	0.0452095237678963	0.00282564720328041	0.0216866557651786	0.000549408071250036	5.76842504391861e-06	0.0119788493935557	0.0238061535176509	1.88217858910171e-06	0.0322914330521025	0.00132277651455372	7.6403644103475e-06	0.00516539094936988	6.7177362887866e-05	0.000113739209134765	0.00126816959021057	0.000620022746318199	0.00243032062954261	0.0232208196600981	0.00863110287406621	0.144231833614737	0.045266386858719	0.0186658092920414	0.00704695806465997	0.0198561151423104	3.54634830181391e-05	6.81996660721171e-10	0.000620423120408816	0.0316555662138158	9.45641860448329e-06	0.00197611714121790	0.0335610009936415	0.0343900953453312	3.44636713328519e-16	0.000553242141556298	1.10049149553023e-09	0.00477345337158735	0.00883003749746446	1.26921990169217e-08	0.00587290735174585	0.0627419354230335	0.00690238195535918	0.00173982323413008	0.00203557121470284	0.0142407573183275	0.0371421746209182	9.05923751694108e-35	0.00257765976304327	5.06160523697169e-26	2.81383652062914e-08	8.10052873263407e-06	1.24012346173223e-10	5.84706545023115e-11	0.000307862680808272	0.00506575850778875	0.00162824843718681	0.0130047148197157	0.0123735310566508	0.0171823748134353	0.00892988942627325	0.03206970151072	0.0319098284723500	0.00141220029128728	0.028271019509858	0.00191116802752755	1.77359486809479e-33
D00303	0.00167952049054873	0.0122455075703017	3.73327818019977e-10	0.0217290501610679	0.0147622796289809	0.000147346170336005	1	9.19557149548884e-05	0.000383311669965172	0.022667791074544	0.00138165017226357	0.0197652581957406	0.00244420827315179	0.000155605622232965	1.66846370021155e-07	0.000489490955096857	0.0103401487277518	8.62828367954472e-10	0.0289533938092511	0.0152682881059469	1.54435699840710e-07	3.71621980955901e-14	0.213895643560482	8.60167280669397e-07	0.000499768520193896	0.0723354433836136	2.07505902018440e-19	3.86002076421951e-06	2.3821642601711e-11	0.0160537780035234	5.19763750411643e-05	3.00616249612494e-08	0.000654556258491268	0.0188275210626196	0.0243260093374685	0.0151144181643582	0.0448868059679476	0.000526074289584367	0.00272991811125976	0.115741613488804	0.0101147519739190	0.0314197187501382	0.138097203053835	0.00192659462293294	0.141736514793512	0.00145867248687532	0.199126211675681	0.282094645078431	0.219730332854169	0.214823665697655	0.021132533966636	3.33967646050795e-06	1.36057408467660e-07	3.69226881376661e-08	0.0221557762064123	4.93464101240858e-14	5.33265893069956e-05	0.0110801554794736	0.0176291685496007	0.0233826297629049	0.0219981731847215	7.60095154568438e-06	2.04855427597375e-87	0.000117981269123518	0.00782003754043202	0.0108207120948389	0.0124812236738491	1.59841206352636e-41	2.84403613546735e-26	0.000116721265130568	0.00130018845493035	0.00259909886281258	2.15140124461433e-21	0.0219872180887710	0.00142484240257269	2.34361761173557e-24	4.44102966419228e-06	8.90003494748985e-05	3.48176945576007e-08	6.00508995651964e-47	0.00166862862637484	1.48403291470860e-11	8.57800017163596e-08	1.08032905125519e-07	0.00160184706967861	2.16357155266789e-05	0.0481112267349479	4.95147712292854e-09	3.55236876901749e-06	0.0136274944948770	1.27625584843633e-18	1.38860790040353e-08	0.259981851742246	3.00480951793520e-08	3.12419978346768e-06	4.04953975023793e-10	1.72087248292258e-09	9.4272867521359e-05	2.24565423922167e-47
D00319	4.65439218046825e-09	7.32874189024396e-07	1.16817446505816e-05	0.0610616274018511	0.00674993518306893	8.63779562880473e-06	9.19557149548884e-05	1	4.4173330338976e-08	0.0230099796452491	0.00888004706162706	8.17055363504648e-15	3.6203391301325e-26	9.32126240955302e-07	0.000115844956628268	5.93243537513942e-09	1.04010837314011e-06	7.56974122062228e-15	0.181641709246740	0.0150289417207211	5.02388487498288e-08	3.39172139463783e-06	0.0284936548663359	0.000158280558473530	0.0212731494586307	0.0150027013911187	6.46428045323644e-07	0.0125903837160664	1.70664480013871e-06	5.95075941752722e-10	4.00508029280548e-08	3.25017710532085e-08	5.90803190380763e-07	0.00605611525942594	3.72887529480756e-05	5.71482180672883e-10	0.000637095725693638	6.27194660253713e-07	0.066393044323758	0.0419533602491727	0.117461131571167	0.128354747949962	0.034189454384078	0.0627307525703302	0.000762954747648309	0.0243002175824232	0.0482781836259479	0.0222053396107966	0.00886765729398006	0.000498266159920749	0.00040977566748006	3.18136822895165e-22	4.42602816081419e-08	1.28391727466162e-05	1.49861367484420e-10	1.02681422904945e-30	0.0253411308533801	1.11305777845851e-09	5.62333072928224e-07	1.62857737318541e-10	4.19495642197278e-08	7.95532857907137e-08	2.21484027232721e-87	1.08763591767681e-10	0.0178768728136200	0.000153055155472418	0.000331513046387358	1.94934050314613e-13	1.28435181034183e-17	1.45455042550085e-25	8.80500779400611e-10	4.26128892775753e-09	1.06266950712771e-40	2.07585611887158e-14	0.000624793094208491	2.06741760625795e-72	3.54075245250184e-32	4.51623491630871e-07	0.0271222839621247	1.42776732188331e-106	4.13492341326370e-07	4.84227379640866e-15	4.25672901959872e-17	8.73950677704524e-09	0.0111578673764114	3.02061633380432e-24	0.0106155328957207	0.0229945353920836	1.78867337361900e-27	2.63662324024241e-13	6.74332558028234e-07	7.47892139046535e-06	0.0114200267078034	0.000601854001373657	1.89245057453799e-22	0.0181580467858334	1.29993227317960e-24	1.93402524108825e-06	1.71648299518045e-08
D00331	0.00423429774914017	0.00655474410923037	0.00715529806545605	7.03198482487402e-05	0.00662729796605516	0.00569617197429482	0.000383311669965172	4.4173330338976e-08	1	4.22550196486189e-05	0.00612353720069591	0.229798474142751	3.15632130045244e-10	5.84094404299023e-08	0.0101783772048586	0.0224561139451295	0.0055350484822368	1.33227928107270e-06	0.016823330168556	0.000216582578899140	1.79122806479177e-06	0.00047512051528481	2.85956710481339e-10	9.68023174365947e-26	0.00619130632569617	0.00421905682804332	0.00918002200647125	0.0238468340248695	0.00542198573649606	1.73681707633860e-08	0.00110246130435743	0.000821309791278537	1.3950573773816e-06	0.016175349696358	0.023087904309102	2.88496257450798e-17	0.000543309977023536	0.00571051197647761	0.0264428708922769	0.0227291226872013	0.00142586317640215	0.00870751774492969	0.00527292132861287	0.0093650347671744	0.0100450500866292	0.00791310215371078	0.00417637517261098	0.0288933541955757	0.0237183244525928	0.0361449891024837	0.249821022290350	1.36673962047237e-05	1.73653013161269e-05	0.000639678390857423	5.7851628632039e-06	0.0103962309816132	9.36896675183228e-05	0.00279757053027575	7.96739465191052e-06	1.96146875855127e-08	2.92138063269763e-05	0.00798486864830105	1.34763401414535e-42	2.79373194145771e-05	0.00494701974914569	0.00685308520279674	0.00397043069588620	0.000217376867255137	6.02372774295261e-10	1.96299465867828e-10	6.63330894723969e-06	0.00556305145954388	2.19296875589406e-08	0.000338315570533615	0.000223322285809029	0.0306576832219615	3.00562487071553e-18	4.46658083958581e-05	0.00642842468286609	5.59863684332645e-89	0.00492547073796229	0.000172940866796306	0.00795592408140439	9.25096492443241e-30	0.00620205237948603	2.02786781982866e-06	0.000255035808328494	1.20015536337794e-06	2.40419198583506e-18	1.00648624318086e-20	0.0102238111686647	0.00567925897981934	0.0247884747034534	0.00554819682721493	4.42481622506283e-08	0.000476176988665167	0.000596708985742922	0.000462443707038492	1.16575037155454e-08
D00332	0.00031594078312672	0.000132625489258759	0.0798607080724492	0.0359147681392163	0.108036034984787	0.064244272908562	0.022667791074544	0.0230099796452491	4.22550196486189e-05	1	0.0187810718824924	3.83356756331494e-08	3.43340415429765e-14	0.000258821477971613	0.0144701827867198	0.00853033000611057	0.000112819587353746	0.124973974392052	0.0267854310947995	0.000159681423409397	0.00193438233571055	0.0223875722443867	2.36615186326283e-06	2.41303917712204e-07	0.0742394283834837	5.98832059312485e-10	4.43217819586689e-14	0.111041902040064	0.128133818473958	0.103053068887576	0.000109784217743098	2.71537930944803e-08	0.000592721492522935	0.0112105513159259	0.0263745397718561	0.00396459430011926	1.83030074317518e-07	0.00011350159569179	0.0472148290980477	0.0468706591942085	0.0433718289905272	0.00766103343481423	0.0386431075769480	0.0385628615786782	0.00752179016067309	2.95208474915038e-08	0.00317485608965266	1.71628771218683e-07	0.0139214080791072	0.000807070218983572	3.65815341486170e-08	0.0253458705608094	0.00170418528781783	0.0130513187647811	0.0283840045888599	0.0493825337279696	0.0144651666927194	0.00159000268818306	2.17140119979424e-07	0.000122139736160941	0.000115111701054278	0.00223143431878136	6.93211378561345e-23	0.0178480373179600	0.00155629784094527	0.00202390095578392	0.000467974201788586	0.00941055958869406	5.00283817615632e-09	0.0218638778059586	0.00457739534576898	0.000120869407285850	0.000778273576924518	0.244221932372158	0.00358181575277281	7.49662681058014e-48	0.000145499999568793	7.35449169134298e-05	1.41880539183115e-05	5.07944795703142e-148	0.0293088699021428	0.00135112275682041	0.000172792088811042	4.88920224911481e-07	0.000777325271777448	4.84480381530133e-08	0.000453403855284309	0.00113117292832115	0.000116385093873099	1.23176285887748e-05	4.90711179046797e-08	1.68000346263155e-43	0.00024932090786059	1.22444636258701e-05	0.000102378610520642	0.000215487704049628	0.000262673613585531	1.40815835945965e-06	0.000112816804321374
