D00066	D00088	D00094	D00105	D00129	D00163	D00182	D00211	D00246	D00279	D00316	D00443	D00506	D00554	D00565	D00586	D00627	D00690	D00950	D00951	D00961	D00962	D01115	D01217	D01387	D01441	D02217
D00066	1	0.689655	0.184211	0.387097	0.358974	0.457143	0.607143	0.188406	0.459459	0.083333	0.065217	0.677419	0.111111	0.323529	0.090909	0.105263	0.050847	0.380952	0.586207	0.7	0.061224	0.031746	0.472222	0.84	0.404762	0.140351	0.115385
D00088	0.689655	1	0.142857	0.352941	0.333333	0.421053	0.6	0.231884	0.628571	0.076923	0.061224	0.527778	0.102564	0.371429	0.085106	0.097561	0.048387	0.487805	0.580645	0.588235	0.078431	0.0625	0.473684	0.580645	0.47619	0.133333	0.150943
D00094	0.184211	0.142857	1	0.105263	0.238095	0.219512	0.128205	0.125	0.152174	0.085714	0.371429	0.159091	0.054054	0.1	0.093023	0.051282	0.109091	0.14	0.125	0.190476	0.02	0.103448	0.155556	0.184211	0.137255	0.084746	0.055556
D00105	0.387097	0.352941	0.105263	1	0.282051	0.333333	0.4	0.161765	0.275	0.2	0.121951	0.25641	0.15625	0.826087	0.153846	0.21875	0.113208	0.27907	0.34375	0.263158	0.195122	0.127273	0.219512	0.34375	0.217391	0.215686	0.27907
D00129	0.358974	0.333333	0.238095	0.282051	1	0.487179	0.3	0.2109405	0.297872	0.095238	0.142857	0.282609	0.044444	0.268293	0.1	0.065217	0.078125	0.226415	0.292683	0.318182	0.072727	0.090909	0.276596	0.325	0.294118	0.125	0.140351
D00163	0.457143	0.421053	0.219512	0.333333	0.487179	1	0.351351	0.191781	0.311111	0.073171	0.08	0.425	0.046512	0.315789	0.081633	0.044444	0.116667	0.26	0.342105	0.365854	0.055556	0.111111	0.348837	0.416667	0.306122	0.129032	0.145455
D00182	0.607143	0.6	0.128205	0.4	0.3	0.351351	1	0.173913	0.358974	0.027027	0.021277	0.5	0.114286	0.517241	0.021739	0.025	0.016667	0.295455	0.875	0.515152	0.0625	0.032258	0.405405	0.5	0.318182	0.084746	0.096154
D00211	0.188406	0.231884	0.125	0.161765	0.2109405	0.191781	0.173913	1	0.216216	0.119403	0.197183	0.189189	0.101449	0.157143	0.150685	0.068493	0.101124	0.220779	0.171429	0.2518635	0.08642	0.074468	0.202703	0.205882	0.266667	0.16092	0.189873
D00246	0.459459	0.628571	0.152174	0.275	0.297872	0.311111	0.358974	0.216216	1	0.093023	0.075472	0.395349	0.090909	0.261905	0.098039	0.086957	0.09375	0.571429	0.35	0.439024	0.090909	0.089552	0.355556	0.421053	0.634146	0.140625	0.157895
D00279	0.083333	0.076923	0.085714	0.2	0.095238	0.073171	0.027027	0.119403	0.093023	1	0.354839	0.071429	0.269231	0.1875	0.518519	0.25	0.222222	0.214286	0.054054	0.157895	0.25	0.208333	0.121951	0.083333	0.155556	0.183673	0.186047
