hsa190	hsa2099	hsa2100	hsa2908	hsa367	hsa4306	hsa5241	hsa5465	hsa5468	hsa5914	hsa5915	hsa5916	hsa6095	hsa6096	hsa6097	hsa6256	hsa6257	hsa6258	hsa7421	hsa8856	hsa9970	hsa9971
hsa190	1	0.0352634980260565	0.0341428160574666	0.0258977580421685	0.0260307659168707	0.0275678846159224	0.0281435576807994	0.0370354996439018	0.0385532685120987	0.0339168332082683	0.0321756935406133	0.0338417963516456	0.0242977390180076	0.0275631608374132	0.0363765272199736	0.0961397887233527	0.0851994140281856	0.0500485336993575	0.050347498919372	0.0476512734179509	0.0390038858075269	0.048883054539023
hsa2099	0.0352634980260565	1	0.522029666950686	0.177555922579971	0.16155503149852	0.162956027178435	0.175481784090149	0.125790654657301	0.148025618464275	0.190385073290282	0.201666106135079	0.201150735858065	0.115625123298428	0.12290358257818	0.109824410924807	0.247863121494846	0.228374655118029	0.0524133604989093	0.152268541127524	0.12908525155347	0.172660720249405	0.159313827389077
hsa2100	0.0341428160574666	0.522029666950686	1	0.195726097679002	0.162529128913937	0.166350780894794	0.177757500258852	0.130228877836523	0.128009222739169	0.201829067871286	0.192319028553881	0.196767529004061	0.12010805384574	0.129113366937437	0.117853700900873	0.22833796566864	0.213912969892252	0.0496373430209844	0.138946370757522	0.12029761734656	0.185680493636939	0.1719640793889
hsa2908	0.0258977580421685	0.177555922579971	0.195726097679002	1	0.316586638740435	0.374873341697452	0.348578228011413	0.104358883383295	0.0921803310275753	0.129620423386884	0.131087780458116	0.135349172801161	0.0826784452869832	0.0885295718461592	0.085675528871805	0.155152344264551	0.137221875362	0.0575481551022787	0.086848822686489	0.0970224084306885	0.145465135199153	0.124990288357467
hsa367	0.0260307659168707	0.16155503149852	0.162529128913937	0.316586638740435	1	0.278150152808717	0.345112200131601	0.0832314555200223	0.0865049181555376	0.118170323637461	0.11456969797429	0.123351994639583	0.0754390125551801	0.0823321266438861	0.0776000057750151	0.14182592469454	0.126867535119553	0.0383814773886895	0.0919548077233719	0.0878596636955684	0.118942203610653	0.110672553139772
hsa4306	0.0275678846159224	0.162956027178435	0.166350780894794	0.374873341697452	0.278150152808717	1	0.312968888589364	0.0947631763030256	0.0905003311354344	0.118002253760282	0.115128492123353	0.129396974130856	0.0827455972979916	0.0966826370862529	0.0878605777800722	0.12271201611705	0.111143455385373	0.0487271498780153	0.103228887656272	0.102448415522934	0.12738585567279	0.115967286203732
hsa5241	0.0281435576807994	0.175481784090149	0.177757500258852	0.348578228011413	0.345112200131601	0.312968888589364	1	0.0803141320225776	0.094510590603508	0.11501815076235	0.106058447817748	0.118032942167366	0.0783401034725371	0.0846013419956217	0.0777164349564317	0.141124304558716	0.130941749569842	0.048614110395701	0.0813327939779536	0.0898703079906966	0.125464365504742	0.105100365243204
hsa5465	0.0370354996439018	0.125790654657301	0.130228877836523	0.104358883383295	0.0832314555200223	0.0947631763030256	0.0803141320225776	1	0.737593099964632	0.273046525253095	0.287681865791379	0.275413567400838	0.224168402429936	0.240809405766489	0.192172999702511	0.237291142249585	0.200207341006171	0.0433648447683694	0.221196278379651	0.197958652509937	0.169726728222167	0.206371728818062
hsa5468	0.0385532685120987	0.148025618464275	0.128009222739169	0.0921803310275753	0.0865049181555376	0.0905003311354344	0.094510590603508	0.737593099964632	1	0.26374332729819	0.273729582439321	0.268612063226572	0.232279616402239	0.252353387628572	0.210361859137082	0.231101943561857	0.194641660849053	0.0399808368668375	0.247109607252041	0.219701991808558	0.169499061596075	0.23240307254964
hsa5914	0.0339168332082683	0.190385073290282	0.201829067871286	0.129620423386884	0.118170323637461	0.118002253760282	0.11501815076235	0.273046525253095	0.26374332729819	1	0.987541233484407	0.940480303774307	0.205694751064668	0.221393035935978	0.170138788170563	0.316221772914236	0.286242348505523	0.0719086750268285	0.23707367033772	0.226610056895126	0.237111290891186	0.256124496269364
hsa5915	0.0321756935406133	0.201666106135079	0.192319028553881	0.131087780458116	0.11456969797429	0.115128492123353	0.106058447817748	0.287681865791379	0.273729582439321	0.987541233484407	1	0.973761096249724	0.23254744190276	0.242366211830304	0.179394181242282	0.317366422492413	0.286040413093151	0.0573024503835169	0.244270510173604	0.236256256773644	0.237830514566179	0.267662583583861
hsa5916	0.0338417963516456	0.201150735858065	0.196767529004061	0.135349172801161	0.123351994639583	0.129396974130856	0.118032942167366	0.275413567400838	0.268612063226572	0.940480303774307	0.973761096249724	1	0.22054418687755	0.23942170863881	0.17647355334151	0.329041479083872	0.296309631298292	0.0645746272686571	0.248092103958674	0.21730945970107	0.247092701848442	0.259614832962449
hsa6095	0.0242977390180076	0.115625123298428	0.12010805384574	0.0826784452869832	0.0754390125551801	0.0827455972979916	0.0783401034725371	0.224168402429936	0.232279616402239	0.205694751064668	0.23254744190276	0.22054418687755	1	0.783753648901654	0.58271999603945	0.157536521879818	0.139770985745663	0.0515147805281142	0.221246687033113	0.187526257868932	0.14223353790333	0.184009716693803
hsa6096	0.0275631608374132	0.12290358257818	0.129113366937437	0.0885295718461592	0.0823321266438861	0.0966826370862529	0.0846013419956217	0.240809405766489	0.252353387628572	0.221393035935978	0.242366211830304	0.23942170863881	0.783753648901654	1	0.620619484067707	0.169282794918289	0.150102598994125	0.0469301731539284	0.218343304052618	0.199907672806735	0.157392945179586	0.196264207773838
hsa6097	0.0363765272199736	0.109824410924807	0.117853700900873	0.085675528871805	0.0776000057750151	0.0878605777800722	0.0777164349564317	0.192172999702511	0.210361859137082	0.170138788170563	0.179394181242282	0.17647355334151	0.58271999603945	0.620619484067707	1	0.162600140344911	0.148748305170278	0.0478166246303134	0.194729812242175	0.211476866714526	0.142807225266235	0.146689258832623
hsa6256	0.0961397887233527	0.247863121494846	0.22833796566864	0.155152344264551	0.14182592469454	0.12271201611705	0.141124304558716	0.237291142249585	0.231101943561857	0.316221772914236	0.317366422492413	0.329041479083872	0.157536521879818	0.169282794918289	0.162600140344911	1	0.843827331558133	0.0788502169219106	0.177026402495431	0.171150622391065	0.204664955262807	0.214075639088403
