D00066	D00088	D00094	D00105	D00129	D00163	D00182	D00211	D00246	D00279	D00316	D00443	D00506	D00554	D00565	D00586	D00627	D00690	D00950	D00951	D00961	D00962	D01115	D01217	D01387	D01441	D02217
D00066	1	0.00659024814493807	2.37280556040071e-20	0.0400785244172607	0.00139097984294015	1.67835677467593e-15	0.285610776701623	3.40400245179340e-08	1.62764449060809e-08	5.21984581333612e-45	4.26878819198581e-11	0.00132218124945849	0.00372927474367276	0.00400068854086017	2.03712835918648e-51	5.85414050535143e-139	1.28151301046884e-15	5.99780157113572e-11	0.00929472394360713	0.104905470247940	0.00833787774861245	0.0216834658504090	0.000634132915820278	0.262957897147766	4.25688044310255e-05	0.000312475629725775	0.002537879740822
D00088	0.00659024814493807	1	0.00229943175706476	0.00221749294379377	0.00011596402283937	1.94316348297342e-05	0.00581265634593425	0.0017794015244053	0.000790776376970999	3.71402190297611e-08	0.0390419790171692	0.00280056152303438	0.00109205947096123	7.13983431687945e-15	2.99402876414805e-05	2.56344523244562e-43	1.07644140101623e-05	0.0204623543334498	0.000330747199862051	0.0081096795211311	0.00077071438393	0.00110310711477645	0.0072333431642587	1.03536749222266e-21	0.0208698576811498	0.00178607665154816	1.85488644975152e-08
D00094	2.37280556040071e-20	0.00229943175706476	1	0.0240079530671657	0.00431923987256784	1.05083750981523e-22	5.48721478942577e-06	6.09477668078417e-06	0.000180412457268125	0.0286734854568727	0.150422978748843	4.25591823680729e-10	3.82428948357257e-07	1.31372012867772e-11	0.0117498763079968	0.00391746097330163	0.0114342492610485	1.36406943020323e-11	0.000892093919342023	1.00379833052705e-06	0.00220060403323941	4.58738691228576e-06	0.00136860997661579	2.12212043129068e-20	5.06159585234762e-06	0.0675844548681611	0.00161389291041156
D00105	0.0400785244172607	0.00221749294379377	0.0240079530671657	1	0.0491802742400144	1.55636691959587e-05	0.0925349207774793	0.00235237795538545	0.00460175914606399	7.35756532806244e-05	0.000276648711616759	0.0386334100636546	0.00924389776975773	0.0202386708562726	0.0553198764102544	1.31814887301753e-15	0.00465351242011343	1.34099864905395e-07	0.0332040362866684	0.0903545967918611	0.0338664367926555	0.0321133276871948	0.000312679396602878	0.0287317519643518	0.0159476038198574	0.049542450383043	0.0607818894703341
D00129	0.00139097984294015	0.00011596402283937	0.00431923987256784	0.0491802742400144	1	0.0102288907042006	0.00133425776813302	0.00994245067312683	0.00345298628285596	1.92357088602432e-14	0.0110946654289121	0.00642882853982802	0.0105234335159991	2.70634339307126e-07	0.00411623374750368	5.49484397825083e-40	0.00509808290754592	2.38814668278671e-05	1.63827056594532e-08	0.00468679984337362	0.000188492548889068	2.68433071690101e-05	0.0114840685023363	6.81306731768981e-16	3.37015602072829e-06	0.0148802649580562	0.069162731023174
D00163	1.67835677467593e-15	1.94316348297342e-05	1.05083750981523e-22	1.55636691959587e-05	0.0102288907042006	1	1.82229791577068e-85	0.0166572361535439	2.11510413087355e-06	0.0424277901675823	6.17390445822579e-52	0.000521541121614387	6.60954191867168e-42	1.47629450832980e-19	0.0462452014016011	2.36988452692652e-85	3.92940368910834e-66	1.14684007962233e-114	1.55030766220163e-11	2.71626655678196e-05	5.67859306789667e-08	1.23371128520496e-07	5.47996435994674e-32	1.05139425001471e-60	1.67936050571138e-114	6.06198697538997e-08	0.0398490029861928
D00182	0.285610776701623	0.00581265634593425	5.48721478942577e-06	0.0925349207774793	0.00133425776813302	1.82229791577068e-85	1	0.00384712987036777	3.15555982709326e-05	6.32415843921971e-05	3.61906844878417e-20	8.44969933363446e-05	0.00360605507663913	0.00446878315515327	5.77351752080151e-40	1.23015380828280e-39	0.000336732683501219	3.88118199916174e-43	0.0506066577642753	0.170356731853974	0.000143442483146472	0.045607900036717	3.62598221920906e-06	0.247216765943754	5.68335875233498e-43	0.000852705191592665	1.48965332294112e-05
D00211	3.40400245179340e-08	0.0017794015244053	6.09477668078417e-06	0.00235237795538545	0.00994245067312683	0.0166572361535439	0.00384712987036777	1	0.00655353995495664	0.0178577427993519	1.17009553300987e-06	0.00512844165155873	0.0607839081526159	1.39671562491822e-12	0.0050458942491126	1.12590846641022e-10	0.000918583398007895	0.000921118934586836	0.0049832068517025	0.00239599557518798	0.00205626474573069	2.44653840948639e-05	0.0192373292496897	0.00356634428784233	2.25772583274307e-06	0.0154363316508062	0.0115648403103334
D00246	1.62764449060809e-08	0.000790776376970999	0.000180412457268125	0.00460175914606399	0.00345298628285596	2.11510413087355e-06	3.15555982709326e-05	0.00655353995495664	1	7.89686271012737e-44	0.000678718421289541	3.19368071421535e-16	0.00368632120245619	6.52693375301777e-09	3.50152148980164e-05	2.99538463050509e-43	5.41409800748017e-09	0.0394199671483195	0.00395547826788603	0.000253355698581894	3.01355853123143e-08	0.000113095159030545	0.0140247870941461	0.000588386684193188	6.9026564084183e-06	0.000100537775402284	0.0025493075996402
D00279	5.21984581333612e-45	3.71402190297611e-08	0.0286734854568727	7.35756532806244e-05	1.92357088602432e-14	0.0424277901675823	6.32415843921971e-05	0.0178577427993519	7.89686271012737e-44	1	4.98217719210349e-12	0.000334046769884723	3.43183713992139e-05	6.62301894979514e-60	0.150326682984769	5.90649577080745e-60	3.50796088429249e-16	2.48692765953226e-120	2.84973084013728e-05	7.20078268986913e-05	0.000262518737155991	1.85307332989562e-26	0.00235107972849418	1.1178750504938e-60	1.55736883285045e-89	0.00377470997997475	6.04100816316463e-05
